Mid time (s)  1/2 Exposure (s)   Flux (Jy)  Err_flux (Jy)
   7.8480000000000004e+01    5.0000000000000000e+00    1.3337900010423661e-03    1.0615539133815766e-04
   8.8480000000000004e+01    5.0000000000000000e+00    1.3115343156423569e-03    1.0425303708944320e-04
   1.0348000000000000e+02    1.0000000000000000e+01    1.4923916867666241e-03    8.1108448713397964e-05
   1.2348000000000000e+02    1.0000000000000000e+01    1.5600833039417267e-03    8.4144217931556698e-05
   1.4348400000000001e+02    9.9960000000000004e+00    1.6065915226879119e-03    8.5847142085647575e-05
   1.6857800000000000e+02    1.5098000000000001e+01    1.6646554801225662e-03    8.5931702483367918e-05
   2.0367599999999999e+02    2.0000000000000000e+01    1.9694880729045866e-03    1.3051871918134689e-04
   2.4367599999999999e+02    2.0000000000000000e+01    2.3587511664104458e-03    1.4265542855415345e-04
   2.8867599999999999e+02    2.5000000000000000e+01    2.5837276703453062e-03    1.3388738129053115e-04
   3.4367599999999999e+02    3.0000000000000000e+01    2.5145104002113339e-03    1.1995707456607817e-04
   4.1367599999999999e+02    4.0000000000000000e+01    2.3889967905950543e-03    1.0143987566528321e-04
   5.0367599999999999e+02    5.0000000000000000e+01    2.3582799714231490e-03    8.9726732381057738e-05
   6.0957799999999997e+02    5.5902000000000001e+01    1.9059760826168060e-03    8.7897222330379492e-05
   7.4298000000000002e+02    7.2500000000000000e+01    1.7118819528493879e-03    5.7060184761714933e-05
   9.0707799999999997e+02    8.6597999999999999e+01    1.4320787283926008e-03    2.3125995276546477e-05
   1.1036759999999999e+03    1.1000000000000000e+02    1.1098705020790101e-03    4.3222334134769434e-05
   1.3465780000000000e+03    1.3290199999999999e+02    9.2245970013141631e-04    3.2504049023723597e-05
   1.6539800000000000e+03    1.4450000000000000e+02    7.5655321860408772e-04    2.7732499352359766e-05
   5.8149799999999996e+03    5.0850000000000000e+02    1.8390511124210358e-04    1.0792020759057999e-05
   6.9624799999999996e+03    6.3300000000000000e+02    1.5992892738847731e-04    6.5813459425735472e-06
   1.2426480000000000e+04    9.0800000000000000e+02    7.2045968257713325e-05    2.9288206910419459e-06
   1.8386980000000000e+04    7.7350000000000000e+02    5.5848322194385522e-05    8.2126739285945896e-06
   2.4307480000000000e+04    6.3500000000000000e+02    4.8926085781002045e-05    3.6832930107021329e-06
   3.2019480000000000e+04    2.3180000000000000e+03    3.4061284781742084e-05    4.0388287311172475e-06
   3.9010480000000003e+04    3.2800000000000000e+03    2.5788119604778292e-05    4.0050045720291141e-06
   4.9699980000000003e+04    4.1565000000000000e+03    1.7594675525665284e-05    2.2073116444931027e-06
   6.3310980000000003e+04    6.2425000000000000e+03    2.0803386039161680e-05    2.3317707961378099e-06
   7.6164979999999996e+04    6.6045000000000000e+03    1.4447220360517501e-05    2.1112082430839538e-06
   9.3060479999999996e+04    7.0560000000000000e+03    1.3332882420558931e-05    2.6110569796085353e-06
   1.1583898000000000e+05    1.1466500000000000e+04    1.2401852065658570e-05    2.0419018279523846e-06
   1.4237848000000001e+05    1.3904000000000000e+04    1.6981612642192838e-05    2.5167670421504977e-06
   1.6535498000000001e+05    9.0665000000000000e+03    1.5573936720142362e-05    1.1071681351518629e-06
   2.1169598000000001e+05    2.0565500000000000e+04    1.2546012261772159e-05    1.3718854790153505e-06
   2.6381497999999998e+05    2.6198500000000000e+04    9.5735359919071195e-06    8.4566255820178975e-07
   3.2222047999999998e+05    3.2201000000000000e+04    5.4902366419887541e-06    8.3602725746154783e-07
   3.9964047999999998e+05    3.9921000000000000e+04    4.9754115458679196e-06    6.9386136229419695e-07
   4.8663547999999998e+05    4.7067000000000000e+04    2.3766412939281461e-06    7.3640390214729312e-07
   5.8798047999999998e+05    4.9822000000000000e+04    2.0086914958477018e-06    6.6430342809104925e-07
   7.4654247999999998e+05    6.4719000000000000e+04    9.4700768546962739e-07    5.9234303903102870e-07
   9.3370547999999998e+05    7.2497000000000000e+04    3.7755708182144159e-06    9.2679724101448067e-07
