Time(from_iPTFdiscovery)	Mag		MagErr		Band		GCN
0				18.42		0.05		r		15883
10200				20.4		0.2		r		15883
84978 				22.28 		0.09		r		15886
84978 				22.02 		0.09		i		15886
84978 				21.98 		0.24		Z		15886
84978 				22.12 		0.35		Y		15886
84978 				21.88 		0.35		J		15886
84978 				>21.59		?		H		15886
78660				22.37 		0.04		g		15887
78660				22.11 		0.03		r		15887
78660				22.07 		0.06		i		15887
78660				22.11 		0.03		z		15887
78660				>21.6		?		J		15887
78660				>21.0		?		H		15887
78660				>19.7		?		K		15887
173304				23.28		0.32   		r		15892
173304				22.51		0.20   		i		15892
173304 				>22.11   	?		Z		15892
173304				>21.73   	?		J		15892
119495			 	23.0		?		R		15893
34695.				>21.24		?		uvm2_swift	15894
130179.				>20.96		?		v_swift		15894
151128.5			>20.54		?		v_swift		15894
210891.				22.86		0.17		R		16037
#-4304.4  			>21.16		?		r		arXiv1504.00673
24.4	 			18.16 		0.03		r		arXiv1504.00673	
6322.8 				19.77  		0.07		r		arXiv1504.00673
10297.2 			20.24 		0.08		r		arXiv1504.00673
26587.2	 			21.17 		0.13		g'		arXiv1504.00673
26587.2 			21.07 		0.11		r'		arXiv1504.00673
26587.2 			20.79 		0.11		i'		arXiv1504.00673
36414 				21.61 		0.18		g'		arXiv1504.00673
36414 				21.28 		0.13		r'		arXiv1504.00673
36414 				21.00 		0.11		i'		arXiv1504.00673
82500.6  			22.32 	 	0.04		g'		arXiv1504.00673
82500.6   			22.07  		0.03		r'		arXiv1504.00673
82500.6   			22.04 		0.06		i'		arXiv1504.00673
82500.6   			21.82  		0.08		z'		arXiv1504.00673
82500.6   			>21.6		?		J		arXiv1504.00673
82500.6   			>21.0		?		H		arXiv1504.00673
82500.6   			>19.8		?		K		arXiv1504.00673
92041.2  			22.24 		0.09		r'		arXiv1504.00673
92041.2  			21.99 		0.09		i'		arXiv1504.00673
87955.2   			21.96 		0.24		z'		arXiv1504.00673
87955.2   			22.10 		0.35		Y		arXiv1504.00673
87955.2   			21.87 		0.35		J		arXiv1504.00673
87955.2   			>21.58		?		H		arXiv1504.00673
167932   			23.15 		0.06		g'		arXiv1504.00673
167932  			23.04 		0.06		r'		arXiv1504.00673
167932   			22.82 		0.11		i'		arXiv1504.00673
167932   			22.66 		0.11		z'		arXiv1504.00673
167932   			>21.5		?		J		arXiv1504.00673
167932  			>20.9		?		H		arXiv1504.00673
167932   			>19.8		?		K		arXiv1504.00673
178038.    			23.24  		0.32		r'		arXiv1504.00673
178038.    			22.48  		0.20		i'		arXiv1504.00673
175320    			>22.09		?		z'		arXiv1504.00673
175320    			>21.72		?		Y		arXiv1504.00673
192668  			23.21  		0.04		g'		arXiv1504.00673
192638  			23.13  		0.05		R		arXiv1504.00673
191462 				23.68 		0.02		g'		arXiv1504.00673
191509. 			>23.51		?		R		arXiv1504.00673
