Mid time (s)  1/2 Exposure (s)   Flux (Jy)  Err_flux (Jy)
   1.4504300000000001e+02    1.3882000000000000e+01    1.4849901049661636e-03    1.3966626943473815e-04
   1.7392500000000001e+02    1.5000000000000000e+01    9.5981909512424474e-04    1.0979734653997421e-04
   2.0892500000000001e+02    2.0000000000000000e+01    6.3387187291145313e-04    8.2158831485080707e-05
   2.5392500000000001e+02    2.5000000000000000e+01    5.4423275732803347e-04    7.0377938002681720e-05
   3.0892500000000001e+02    3.0000000000000000e+01    4.6142469556045536e-04    6.0070993380546569e-05
   3.7392500000000001e+02    3.5000000000000000e+01    2.5207887550420758e-04    4.8797462284469603e-05
   4.5392500000000001e+02    4.5000000000000000e+01    2.2986037630319596e-04    4.1980416968250273e-05
   5.5114449999999999e+02    5.2219499999999996e+01    1.4641480045280456e-04    4.5274706679439542e-05
   6.7486400000000003e+02    6.5500000000000000e+01    1.5038862974567414e-04    3.8185132370567322e-05
   7.7486400000000003e+02    2.9500000000000000e+01    5.5972361091041567e-05    3.4776227662467959e-05
   1.0553640000000000e+03    1.9400000000000000e+02    1.3944824624061584e-04    2.4935129327774046e-05
   1.0547364000000000e+04    3.4100000000000000e+02    1.6351739559173579e-05    7.9975797843933094e-06
   1.7302864000000001e+04    1.2985000000000000e+03    1.4050143071222303e-05    8.2071724087429045e-06
   2.3080364000000001e+04    1.3040000000000000e+03    1.7016710301246644e-05    8.7376615544414510e-06
   2.8988864000000001e+04    1.1805000000000000e+03    3.7823967780303949e-06    8.1862870093059539e-06
   3.7567364000000001e+04    3.7410000000000000e+03    1.5696090836849212e-05    5.2012540297794351e-06
   4.4437864000000001e+04    3.0835000000000000e+03    4.8302834897804264e-06    4.4000187913799293e-06
   5.7293364000000001e+04    5.3150000000000000e+03    1.4970399616413115e-05    4.5470061574172976e-06
   7.0122364000000001e+04    5.6260000000000000e+03    2.1563741928663251e-05    6.4108752371692649e-06
   8.9981364000000001e+04    8.9260000000000000e+03    1.0474562687616348e-05    4.2603667851448054e-06
   1.1274536400000000e+05    9.5020000000000000e+03    1.4007684582366940e-05    2.8993773718357080e-06
   1.3908686400000000e+05    1.2441500000000000e+04    1.2327708897657395e-05    3.7692797283840179e-06
   1.7007336400000000e+05    1.5115000000000000e+04    8.3302434454250329e-06    2.5621800509262081e-06
   2.0820886400000000e+05    1.8498500000000000e+04    1.0439719728555677e-05    2.2517491522951122e-06
   2.5519986400000000e+05    2.3588500000000000e+04    9.5631951721858979e-07    3.3622946093559260e-06
