6.79638,	2.06194*10^-10,	2.93799*10^-11
11.58038,	8.67446*10^-11,	1.236*10^-11
13.83157,	1.21024*10^-10,	1.72443*10^-11
15.80276,	9.91046*10^-11,	1.41211*10^-11
18.87476,	8.11553*10^-11,	1.79493*10^-11
20.62793,	8.67446*10^-11,	1.236*10^-11
23.56769,	8.11553*10^-11,	1.15636*10^-11
25.75676,	7.59261*10^-11,	1.08185*10^-11
28.14916,	7.59261*10^-11,	1.08185*10^-11
30.76379,	7.59261*10^-11,	1.08185*10^-11
38.41275,	7.10339*10^-11,	1.01214*10^-11
47.96352,	6.21748*10^-11,	8.85909*10^-12
54.79898,	5.81686*10^-11,	8.28827*10^-12
65.45171,	4.76334*10^-11,	6.78714*10^-12
71.53116,	4.45642*10^-11,	6.34982*10^-12
81.72532,	3.90063*10^-11,	8.62711*10^-12
89.31633,	3.6493*10^-11,	5.19977*10^-12
102.04513,	2.79581*10^-11,	3.98366*10^-12
106.67912,	2.61566*10^-11,	3.72697*10^-12
116.58795,	2.14193*10^-11,	3.05196*10^-12
127.41716,	2.44712*10^-11,	3.48683*10^-12
152.18661,	2.44712*10^-11,	3.48683*10^-12
173.87528,	2.14193*10^-11,	3.05196*10^-12
190.0256,	2.00391*10^-11,	2.85531*10^-12
207.67603,	1.87479*10^-11,	2.67133*10^-12
237.27269,	1.75399*10^-11,	2.49921*10^-12
248.04752,	1.64097*10^-11,	2.33817*10^-12
271.08728,	1.34377*10^-11,	2.97204*10^-12
283.39767,	1.43632*10^-11,	3.17673*10^-12
309.72092,	1.34377*10^-11,	2.97204*10^-12
338.48918,	1.17618*10^-11,	2.60138*10^-12
369.92958,	9.63157*10^-12,	2.13023*10^-12
404.29029,	1.02949*10^-11,	1.46689*10^-12
461.90717,	7.88715*10^-12,	1.12382*10^-12
504.81118,	7.88715*10^-12,	1.12382*10^-12
551.70031,	6.04251*10^-12,	8.60979*10^-13
630.32512,	4.94813*10^-12,	7.05043*10^-13
688.87254,	5.65317*10^-12,	8.05503*10^-13
822.78695,	2.90426*10^-12,	4.13819*10^-13
