#Tstart (s)    Mag	err	Filter   
201           20.95	0	white    
481           20.05	0	white    
357           18.50	0	v        
456           19.33	0	b        
432           18.98	0	u        
407           19.01	0	uvw1     
382           18.70	0	uvm2     
506           19.01	0	uvw2     
4050          20.13	0	v        
10740         20.23	0.19	v        
4870          20.79	0	b        
17436         20.19	0.14	b        
4665          20.53	0	u        
16524         21.21	0.26	u        
4460          20.61	0	uvw1     
15618         21.89	0	uvw1     
4255          20.51	0	uvm2     
21399         21.66	0	uvm2     
5281          20.23	0	uvw2     
29001         20.61	0	uvw2     
