,Title,ADS link,,,status
0,Observations of the X-Ray Afterglows of GRB 011211 and GRB 001025 by XMM-Newton,https://ui.adsabs.harvard.edu/abs/2003ApJ...583L..57B/abstract,,,none
1,The Optical Afterglow of the Gamma-Ray Burst GRB 011211,https://ui.adsabs.harvard.edu/abs/2002AJ....124..639H/abstract,,,
2,Soft X-ray emission lines in the afterglow spectrum of GRB 011211: A detailed XMM-Newton analysis,https://ui.adsabs.harvard.edu/abs/2003A&A...403..463R/abstract,,,
3,Statistical re-examination of reported emission lines in the X-ray afterglow of GRB 011211,https://ui.adsabs.harvard.edu/abs/2003MNRAS.339..600R/abstract,,,
4,"Probing the Environment in Gamma-Ray Bursts: The Case of an X-Ray Precursor, Afterglow Late Onset, and Wind Versus Constant Density Profile in GRB 011121 and GRB 011211",https://ui.adsabs.harvard.edu/abs/2005ApJ...623..314P/abstract,
5,Polarimetric observations of GRB 011211,https://ui.adsabs.harvard.edu/abs/2002A&A...392..865C/abstract,,,
6,The afterglow and the host galaxy of GRB 011211,https://ui.adsabs.harvard.edu/abs/2003A&A...408..941J/abstract,,,
7,"Jets, structured outflows and energy injection in gamma-ray burst afterglows: numerical modelling",https://ui.adsabs.harvard.edu/abs/2005MNRAS.363.1409P/abstract,,
8,Small-scale variations in the radiating surface of the GRB 011211 jet,https://ui.adsabs.harvard.edu/abs/2004NewA....9..435J/abstract,,,
9,On the Lyalpha  emission from gamma-ray burst host galaxies: Evidence for low metallicities,https://ui.adsabs.harvard.edu/abs/2003A&A...406L..63F/abstract,,,
10,"Variabilities of Gamma-Ray Burst Afterglows: Long-acting Engine, Anisotropic Jet, or Many Fluctuating Regions?",https://ui.adsabs.harvard.edu/abs/2005ApJ...631..429I/abstract,
11,The Prompt X-Ray Emission of GRB 011211: Possible Evidence of a Transient Absorption Feature,https://ui.adsabs.harvard.edu/abs/2004ApJ...616.1078F/abstract,,,
12,The GRB 011211 X-Ray Lines: Toward Resolving the Significance Debate,https://ui.adsabs.harvard.edu/abs/2005ApJ...627L...9B/abstract,,,
13,"Low-resolution VLT spectroscopy of GRBs 991216, 011211 and 021211",https://ui.adsabs.harvard.edu/abs/2006A&A...447..145V/abstract,,
14,The X-ray afterglows of gamma-ray bursts GRB 001025A and GRB 010220 observed with XMM-Newton,https://ui.adsabs.harvard.edu/abs/2002A&A...393L...1W/abstract,,,
15,"Models for achromatic light-curve breaks in gamma-ray burst afterglows: jets, structured outflows and energy injection",https://ui.adsabs.harvard.edu/abs/2005MNRAS.362..921P/abstract,,
16,High-Precision Photometry of the Gamma-Ray Burst GRB 020813: The Smoothest Afterglow Yet,https://ui.adsabs.harvard.edu/abs/2003ApJ...597L.107L/abstract,,,
17,Reconsidering the origin of the X-ray emission lines in GRB 011211,https://ui.adsabs.harvard.edu/abs/2004A&A...415..443T/abstract,,,
18,The signature of supernova ejecta in the X-ray afterglow of the γ-ray burst 011211,https://ui.adsabs.harvard.edu/abs/2002Natur.416..512R/abstract,,,
19,A Search for Discrete X-Ray Spectral Features in a Sample of Bright γ-Ray Burst Afterglows,https://ui.adsabs.harvard.edu/abs/2005ApJ...623..973S/abstract,,,
20,Gamma-ray bursts as probes of high-redshift Lyman-α emitters and radiative transfer models,https://ui.adsabs.harvard.edu/abs/2021A&A...653A..83V/abstract,,,
21,GRB 011211: An alternative interpretation of the optical and X-ray spectra in terms of blueshifts,https://ui.adsabs.harvard.edu/abs/2009CaJPh..87..721B/abstract,,,
22,X-ray Emission Lines in GRB Afterglows: Evidence for a Two-component Jet Model,https://ui.adsabs.harvard.edu/abs/2005ChJAA...5..571G/abstract,,,
23,Gamma-Ray Bursts from Delayed Collapse of Neutron Stars to Quark Matter Stars,https://ui.adsabs.harvard.edu/abs/2003ApJ...586.1250B/abstract,,,
24,Explosive Nucleosynthesis Associated with Formation of Jet-induced Gamma-Ray Bursts in Massive Stars,https://ui.adsabs.harvard.edu/abs/2003ApJ...596..401N/abstract,,,
25,Time-dependent thermal effects in GRB afterglows,https://ui.adsabs.harvard.edu/abs/2004NuPhS.132..327P/abstract,,,
26,Small-Scale Density Variations in the Environment of the Gamma-Ray Burst GRB 011211,https://ui.adsabs.harvard.edu/abs/2002AAS...200.2506H/abstract,,,
27,A systematic analysis of X-ray afterglows of gamma-ray burst observed by XMM-Newton,https://ui.adsabs.harvard.edu/abs/2006AdSpR..38.1325G/abstract,,,
28,X-Ray Lines from Gamma-Ray Bursts,https://ui.adsabs.harvard.edu/abs/2003ApJ...584..895K/abstract,,,
29,On the X-Ray Lines in the Afterglows of Gamma-Ray Bursts,https://ui.adsabs.harvard.edu/abs/2003ApJ...585..890D/abstract,,,
30,XMM-Newton Observations of GRB Afterglows,https://ui.adsabs.harvard.edu/abs/2004ASPC..312..181R/abstract,,,
31,XMM-Newton observations of GRB afterglows,https://ui.adsabs.harvard.edu/abs/2004cosp...35.3612R/abstract,,,
32,X-ray Emission Lines in the Early Afterglows of Gamma-Ray Bursts,https://ui.adsabs.harvard.edu/abs/2003AstL...29..205K/abstract,,,
33,X-ray lines in Gamma Ray Burst Afterglows,https://ui.adsabs.harvard.edu/abs/2004HEAD....8.2206R/abstract,,,
34,Gamma Ray Bursts from delayed quark-deconfinement phase transition in neutron stars,https://ui.adsabs.harvard.edu/abs/2002NuPhS.113..268B/abstract,,,
35,"Evidence for Lines in GRB Afterglows, and Prospects",https://ui.adsabs.harvard.edu/abs/2006sgrb.confE..53R/abstract,,
36,Previously Claimed(/Unclaimed) X-ray Emission Lines in High Resolution Afterglow Spectra,https://ui.adsabs.harvard.edu/abs/2004AIPC..727..399B/abstract,,,
37,A systematic analysis of X-ray afterglows of GRB observed by XMM-Newton,https://ui.adsabs.harvard.edu/abs/2004cosp...35.2268G/abstract,,,
38,Time-dependent thermal X-ray afterglows from GRBS,https://ui.adsabs.harvard.edu/abs/2004AdSpR..34.2705K/abstract,,,
39,Gravitational waves from gamma-ray bursts,https://ui.adsabs.harvard.edu/abs/2004ASPC..312..471V/abstract,,,
40,Time-dependent thermal X-ray afterglows,https://ui.adsabs.harvard.edu/abs/2002cosp...34E.229K/abstract,,,
41,Gamma Ray Bursts from delayed collapse of neutron stars to quark matter stars,https://ui.adsabs.harvard.edu/abs/2004ASPC..312..407B/abstract,,,
42,The Quark-Deconfinement Nova model for Gamma-Ray Bursts,https://ui.adsabs.harvard.edu/abs/2005AIPC..797..132B/abstract,,,
43,LIGO/VIRGO searches of gravitational wave bursts in hypernovae,https://ui.adsabs.harvard.edu/abs/2002AAS...200.9506V/abstract,,,
44,Quark Deconfinement in Compact Stars and Astrophysical Implications,https://ui.adsabs.harvard.edu/abs/2004csqn.conf...18B/abstract,,,
45,Quark-Nova,https://ui.adsabs.harvard.edu/abs/2002A&A...390L..39O/abstract,,,
46,Gamma Ray Bursts and Delayed Quark-Deconfinement,https://ui.adsabs.harvard.edu/abs/2006sqmc.conf..353B/abstract,,,
47,X-ray afterglows of gamma-ray bursts observed with XMM-Newton,https://ui.adsabs.harvard.edu/abs/2002cosp...34E2926B/abstract,,,
48,Quark Matter Formation in Neutron Stars and Implications for Gamma-Ray Bursts,https://ui.adsabs.harvard.edu/abs/2002AIPC..644..239B/abstract,,,
49,ESA's X-ray space telescope proves supernovae can cause mysterious gamma-ray bursts,https://ui.adsabs.harvard.edu/abs/2002xmm..pres...22./abstract,,,
