Time_afterburst(s)	Mag		MagErr		Band		GCN
50			15.9		0.5		White		6641
23040			>19.3		?		R		6647
22320			>17.8		?		I		6647
1088           		>21.7		?		white		6648
1194          		>20.9		?		V		6648
1509           		>19.5		?		B		6648
1359           		>20.0		?		U		6648
1334          		>19.6		?		UVW1		6648
1309	       		>19.2		?		UVM2		6648
1530           		>19.4		?		UVW2		6648
150            		16.82 		0.1		White		6650
706             	>18.8		?		White		6650
905             	>19.9		?		White		6650
5902.5          	>20.9		?		White		6650
330             	16.7 		0.1		V		6650
631              	>17.5		?		V		6650
1038.5            	>18.3		?		V		6650
5599.5            	>18.7		?		V		6650
768.5            	>18.4		?		B		6650
5701.5            	>20.4		?		B		6650
748.5             	>18.5		?		U		6650
5496.5            	>20.1		?		U		6650
648             	>18.8		?		UW1		6650
3373.5            	>20.2		?		UW1		6650
699.5             	>18.9		?		UM2		6650
3258.5            	>20.6		?		UM2		6650
790             	>18.8		?		UM2		6650
3841            	>20.3		?		UM2		6650
88			21.4		?		White		6676
88			20.2		?		V		6676
