date	time	exp	mag	magerr	band	source
2015-10-28	01:34:23	600.0	16.87	0.04	R	manual
2015-10-28	01:48:46	720.0	17.26	0.05	I	manual
2015-11-06	15:20:56	3000.0	23.3	0.24	R	manual
2015-11-09	14:36:18	3000.0	23.33	0.2	R	manual
2015-10-27	16:32:13	n/a	16.872	0.03	clear	manual
2015-10-27	16:46:28	n/a	16.816	0.03	clear	manual
2015-10-27	19:38:50	n/a	17.16	0.044	clear	manual
2015-10-27	19:55:07	n/a	17.322	0.047	clear	manual
2015-10-27	21:53:46	n/a	17.575	0.065	clear	manual
2015-10-27	19:14:56	n/a	17.257	0.058	R	manual
2015-10-27	20:24:29	n/a	17.544	0.074	R	manual
2015-10-27	21:37:12	n/a	17.58	0.118	R	manual
2015-10-27	03:59:58	150.0	14.46	0.14	white	manual
2015-10-27	14:56:00	3000.0	16.6	0.06	R	manual
2015-10-27	15:36:00	3000.0	16.67	0.07	R	manual
2015-10-27	16:20:00	3000.0	16.86	0.08	R	manual
2015-10-27	04:07:32	200.0	19.8	0.3	clear	manual
2015-10-27	04:23:18	200.0	20.2	0.4	clear	manual
2015-10-27	04:08:38	200.0	18.1	0.2	I	manual
2015-10-27	04:24:04	200.0	18.8	0.4	I	manual
2015-10-27	09:34:24	2220.0	16.72	0.06	g	manual
2015-10-27	09:34:24	2220.0	15.62	0.05	Rc	manual
2015-10-27	09:34:24	2220.0	16.0	0.04	Ic	manual
2015-10-28	16:35:06	1800.0	18.7	0.1	R	manual
2015-10-28	17:41:24	900.0	18.9	0.1	R	manual
2015-10-29	02:14:14	n/a	19.63	0.04	r	manual
2015-10-30	02:02:28	n/a	20.48	0.08	r	manual
2015-10-27	18:31:59	150.0	16.8	0.06	R	manual
2015-10-27	18:34:59	150.0	17.2	0.08	R	manual
2015-10-29	13:46:11	3300.0	19.84	0.05	R	manual
2015-10-30	12:56:22	4680.0	20.32	0.06	R	manual
2015-10-31	13:28:20	4920.0	21.25	0.07	R	manual
2015-11-01	12:50:19	2280.0	21.5	0.12	R	manual
2015-10-27	03:59:58	147.0	14.52	0.02	white	manual
2015-10-27	04:08:12	19.0	14.44	0.04	white	manual
2015-10-27	04:11:05	19.0	14.71	0.04	white	manual
2015-10-27	04:12:41	147.0	14.81	0.02	white	manual
2015-10-27	04:17:44	38.0	15.07	0.04	white	manual
2015-10-27	04:23:33	19.0	15.23	0.04	white	manual
2015-10-27	05:45:52	197.0	15.28	0.01	white	manual
2015-10-27	10:37:49	677.0	17.14	0.01	white	manual
2015-10-27	04:09:02	116.0	15.12	0.04	v	manual
2015-10-27	04:07:47	97.0	15.37	0.03	b	manual
2015-10-27	04:03:31	323.0	14.0	0.03	u	manual
2015-10-27	04:09:51	77.0	14.71	0.05	w1	manual
2015-10-27	04:09:26	88.0	14.98	0.06	m2	manual
2015-10-27	04:08:38	116.0	15.12	0.05	w2	manual
2015-10-27	17:21:57	1200.0	17.06	0.12	R	manual
2015-10-27	17:43:12	1200.0	17.56	0.25	V	manual
2015-10-27	18:04:34	1200.0	17.06	0.09	R	manual
2015-10-27	18:25:48	1200.0	17.49	0.1	V	manual
2015-10-27	11:21:59	n/a	16.2	0.1	R	manual
2015-10-27	11:04:00	n/a	18.7	0.1	R	manual
2015-10-27	09:44:00	n/a	16.0	0.1	R	manual
2015-10-28	21:48:26	3000.0	19.56	0.12	R	manual
2015-10-27	21:54:47	n/a	21.4	0.2	B	manual
2015-10-27	22:08:35	n/a	20.6	0.1	R	manual
2015-10-27	22:15:11	n/a	19.2	0.1	I	manual
2015-10-27	20:53:35	n/a	18.2	0.1	J	manual
2015-10-27	21:21:11	n/a	18.3	0.1	H	manual
2015-10-27	21:34:23	n/a	17.2	0.2	K	manual
