time(s)	erg/cm2/s	err
42.70464695	7.33E-12	1.44E-12
49.39783837	3.80E-12	6.40E-13
52.76339496	5.06E-12	6.53E-13
57.26186427	4.13E-12	5.99E-13
61.76033357	4.88E-12	5.90E-13
65.50510781	3.16E-12	5.32E-13
66.25880287	3.98E-12	5.14E-13
68.03164536	3.70E-12	3.87E-13
68.2771	4.04E-12	5.73E-13
70.7620124	4.17E-12	5.72E-13
72.53485489	5.15E-12	1.63E-13
72.91881275	5.15E-12	1.40E-13
75.2604817	4.75E-12	6.88E-13
79.2571	3.88E-12	5.52E-13
79.75895101	4.33E-12	5.93E-13
80.3562188	2.89E-12	6.97E-13
86.47584353	3.57E-12	3.73E-13
87.99271411	4.92E-12	4.33E-13
92.9826	3.16E-12	4.45E-13
95.47752236	3.57E-12	5.45E-13
95.66239096	3.31E-12	3.74E-13
100.7107258	3.77E-12	3.63E-13
100.80079	3.16E-12	3.31E-13
101.2653317	3.29E-12	3.44E-13
102.5925934	4.28E-12	3.77E-13
104.4792012	4.33E-12	5.24E-13
111.0819	3.22E-12	4.97E-13
113.158545	4.02E-12	4.21E-13
113.48088	3.77E-12	4.86E-13
122.4778186	3.67E-12	3.84E-13
125.4641576	2.97E-12	3.83E-13
127.0900532	3.60E-12	3.77E-13
131.9257	4.69E-12	8.31E-13
138.3101553	3.14E-12	4.05E-13
140.4811763	3.77E-12	4.56E-13
142.6000549	3.90E-12	3.43E-13
147.4113787	3.80E-12	3.35E-13
149.4781149	2.83E-12	4.33E-13
150.3313546	2.73E-12	2.63E-13
150.66317	3.28E-12	4.24E-13
156.631	3.38E-12	6.36E-13
157.6976573	2.63E-12	3.40E-13
158.4750535	3.67E-12	5.02E-13
162.9640424	2.81E-12	3.62E-13
169.7520382	2.58E-12	4.74E-13
175.7721183	2.66E-12	3.43E-13
177.5686619	3.20E-12	3.87E-13
180.8536347	2.84E-12	3.43E-13
181.1664893	3.22E-12	3.64E-13
186.8269	2.07E-12	4.47E-13
188.1014319	2.83E-12	3.66E-13
188.4711691	2.87E-12	1.78E-13
188.6275964	2.90E-12	2.06E-13
