time_sec	flux_R	flux_err_R	band	source
324	2.918776328839833e-12	5.397784928353533e-14	R	monfardini06
346	2.6832259584422325e-12	4.976134046254745e-14	R	monfardini06
368	2.6320193561818846e-12	7.29425684029474e-14	R	monfardini06
420	2.447675588044632e-12	6.781306467165325e-14	R	monfardini06
442	2.8573284061274153e-12	5.305087192008737e-14	R	monfardini06
464	2.836845765223276e-12	1.0456417037539333e-13	R	monfardini06
589	2.447675588044632e-12	4.534080299720605e-14	R	monfardini06
845	1.950991389403221e-12	7.61398690194362e-14	R	monfardini06
945	1.4819685956039228e-12	5.722159474116476e-14	R	monfardini06
1100	1.3108890178649074e-12	2.4264159688619275e-14	R	monfardini06
1230	1.1572692110838635e-12	3.211100895154655e-14	R	monfardini06
1400	1.6360331381991133e-12	4.9894885385595286e-14	R	monfardini06
1550	1.6272842978878884e-12	7.764504377375658e-14	R	monfardini06
1820	1.437509537735805e-12	5.5606643703616635e-14	R	monfardini06
1980	1.1060626088235157e-12	3.0674787278713904e-14	R	monfardini06
2110	1.0650973270152372e-12	2.954625704630776e-14	R	monfardini06
2240	1.0650973270152372e-12	2.954625704630776e-14	R	monfardini06
2420	1.5222982141531857e-12	5.94004308946832e-14	R	monfardini06
2550	1.5485447350868614e-12	6.047736494288695e-14	R	monfardini06
2680	1.5222982141531857e-12	4.6411083896483074e-14	R	monfardini06
2870	1.4967882815599618e-12	6.82893917714641e-14	R	monfardini06
3000	1.748722942812629e-12	7.981509478509989e-14	R	monfardini06
3130	2.6230844142189434e-12	1.1952415256744314e-13	R	monfardini06
3330	2.6320193561818846e-12	9.718283905645403e-14	R	monfardini06
3460	3.2260159424019205e-12	5.973489602145707e-14	R	monfardini06
3600	3.5025315946077996e-12	6.497744771391887e-14	R	monfardini06
3730	3.604944799128495e-12	6.672643914370302e-14	R	monfardini06
78400	2.6409504717373414e-14	2.4296744860339305e-12	R	curran07
82000	8.623144912717946e-14	1.4313962225891227e-14	R	curran07
816	1.6733975697583612e-12	1.9983153384044634e-13	R	curran07
981	1.624179994177233e-12	2.0967421340717158e-13	R	curran07
1070	1.4273096918527198e-12	1.1813224459999793e-13	R	curran07
1390	1.4371532069689456e-12	1.594725024232815e-13	R	curran07
1470	1.4568402372013967e-12	1.0730585656960393e-13	R	curran07
1850	1.3780921162715916e-12	1.5159744291738235e-13	R	curran07
1860	1.2993439953417864e-12	1.0828776409147354e-13	R	curran07
5360	3.0613332011461784e-12	2.5398422191750247e-13	R	curran07
8300	2.096668719756064e-12	2.707061415638241e-13	R	curran07
18400	9.430087481344176e-13	3.476253847323502e-14	R	curran07
29900	5.423776829040335e-13	1.0057467225968795e-14	R	curran07
68200	1.8997984174315512e-13	7.001747759694093e-15	R	curran07
76000	1.535588358131202e-13	2.1262639777137593e-14	R	curran07
80900	1.535588358131202e-13	1.2699218030156814e-14	R	curran07
82200	1.476527267433848e-13	9.549541896882855e-15	R	curran07
161000	5.837204463921812e-14	3.770593616885428e-15	R	curran07
210000	4.3902077418366417e-14	4.045962692447468e-15	R	curran07
249000	2.569157445334896e-14	6.63458724061741e-15	R	curran07
383000	2.3722871430103825e-14	2.185260355952368e-12	R	curran07
687000	7.215296580193404e-15	1.6635723154057314e-15	R	curran07
1.12E+06	1.8604243569666487e-15	7.038142003796779e-16	R	curran07
2.16E+06	4.951288103461504e-15	4.557547499126352e-13	R	curran07
5530	3.982493551391556e-12	4.446837444504845e-13	R	curran07
82400	1.7274491259241147e-13	2.3988104511190996e-14	R	curran07
6150	3.1794553825408863e-12	5.876780870775417e-14	R	stanek07
6570	2.874306413937891e-12	5.3147329703511634e-14	R	stanek07
6990	2.618375020916024e-12	4.8414360161366556e-14	R	stanek07
7920	2.3230695674292544e-12	2.1702882878064498e-14	R	stanek07
8160	2.2836955069643517e-12	2.130686524648868e-14	R	stanek07
8400	2.244321446499449e-12	2.091084813886292e-14	R	stanek07
8640	2.1754168406858698e-12	2.0315590673613563e-14	R	stanek07
8870	2.1163557499885157e-12	1.9819339442913465e-14	R	stanek07
9120	2.076981689523613e-12	1.9423320915093007e-14	R	stanek07
9360	2.0671381744073875e-12	1.9226544039109992e-14	R	stanek07
9590	1.988390053477582e-12	1.8532281249014784e-14	R	stanek07
10300	1.8308938116179717e-12	3.382114100673858e-14	R	stanek07
10500	1.8112067813855202e-12	1.6945749992661478e-14	R	stanek07
10800	1.7816762360368433e-12	1.664873633823618e-14	R	stanek07
11000	1.7619892058043922e-12	3.263758810395806e-14	R	stanek07
11300	1.7521456906881664e-12	3.2342165793968716e-14	R	stanek07
11500	1.6044929639447815e-12	2.96796372923128e-14	R	stanek07
11700	1.6340235092934585e-12	1.5261444115079876e-14	R	stanek07
12000	1.624179994177233e-12	1.5162439692382094e-14	R	stanek07
12500	1.535588358131202e-12	1.4369174491167825e-14	R	stanek07
12700	1.5257448430149764e-12	2.8102395680467248e-14	R	stanek07
12900	1.4765272674338482e-12	2.741142027505188e-14	R	stanek07
13400	1.4765272674338482e-12	2.741142027505188e-14	R	stanek07
13700	1.4666837523176225e-12	1.3676143277891185e-14	R	stanek07
13900	1.4568402372013967e-12	2.6820575795899668e-14	R	stanek07
14200	1.4371532069689456e-12	2.6622798511979672e-14	R	stanek07
14500	1.417466176736494e-12	2.613022117701573e-14	R	stanek07
14800	1.397779146504043e-12	1.3080886742484965e-14	R	stanek07
15100	1.3780921162715916e-12	2.5439866724305138e-14	R	stanek07
15400	1.3584050860391403e-12	2.514382308067774e-14	R	stanek07
15700	1.3485615709229146e-12	2.494666775061311e-14	R	stanek07
16000	1.3288745406904633e-12	2.4454091115095312e-14	R	stanek07
16300	1.2993439953417864e-12	2.4059158374622225e-14	R	stanek07
