Tstart(daltrigger) Tend  Tmid(s)  Terr Exposure Filter     Mag         Err   Err+   Err-   1sigma   Telescope       Reference  UpperLimit  Calib GAL_Extinction Host_ext Corrected? Notes 
     77.1330     5.0000  7.66218e+01   1.84226e-01 -1.57454e-01 no
     87.1330     5.0000  7.65037e+01   1.69621e-01 -1.46667e-01 no
    102.1330    10.0000  7.63863e+01   1.10595e-01 -1.00364e-01 no
    122.1330    10.0000  7.66872e+01   1.35708e-01 -1.20615e-01 no
    142.1330    10.0000  7.65828e+01   1.28642e-01 -1.15002e-01 no
    167.5015    15.3685  7.64511e+01   1.18937e-01 -1.07185e-01 no
    202.8700    20.0000  7.66394e+01   2.76820e-01 -2.20387e-01 no
    242.8700    20.0000  7.67000e+01   3.05613e-01 -2.38215e-01 no
    287.8700    25.0000  7.65740e+01   2.50854e-01 -2.03635e-01 no
    342.8700    30.0000  7.64806e+01   2.19400e-01 -1.82431e-01 no
    391.2790    18.4090  7.73122e+01   7.49162e-01 -4.39088e-01 no
   4183.4800   406.0000  7.82453e+01   6.66742e-02 -6.28156e-02 no
   5308.4800   509.0000  7.83183e+01   1.17717e-01 -1.06193e-01 no
   5921.9800    99.5000  7.87539e+01   2.15672e-01 -1.79848e-01 no
  10010.4800   665.0000  7.88245e+01   1.29760e-01 -1.15895e-01 no
  11332.4800   645.0000  7.90023e+01   8.03967e-02 -7.48517e-02 no
  16451.4800  1310.0000  7.94056e+01   9.98308e-02 -9.14196e-02 no
  22234.4800  1310.0000  7.97964e+01   1.42936e-01 -1.26289e-01 no
  28071.4800  1258.0000  7.97007e+01   1.31837e-01 -1.17548e-01 no
  36282.4800  3528.0000  8.03398e+01   1.74978e-01 -1.50654e-01 no
  43251.4800  3429.0000  8.04901e+01   2.14818e-01 -1.79255e-01 no
  54591.9800  3655.5000  8.05471e+01   2.48592e-01 -2.02144e-01 no
  69289.4800  6310.0000  8.11078e+01   6.38158e-01 -3.99243e-01 no
  85858.9800  7091.5000  8.11648e+01   2.15078e-01 -1.79436e-01 no
 103075.9800  6956.5000  8.21380e+01   6.09182e-01 -3.87889e-01 no
 135322.9800  9684.5000  8.10928e+01   2.72213e-01 -2.17463e-01 no
 165993.9800 12030.5000  8.12841e+01   2.67710e-01 -2.14585e-01 no
 221744.4800 21495.0000  8.16966e+01   5.13119e-01 -3.47036e-01 no
 259801.4800 12359.0000 no         no         no          8.08799e+01
 358501.4800 29339.0000 no         no         no          8.15710e+01
 461609.9800 45967.5000 no         no         no          8.12671e+01
 568535.4800 55505.0000 no         no         no          8.12341e+01
 658362.4800 28999.0000 no         no         no          8.20279e+01
 910438.4800 90007.0000 no         no         no          8.12118e+01
1115312.4800 110000.0000 no         no         no          8.18152e+01
1283545.9800 52633.5000 no         no         no          8.15749e+01
