Mid time (s)  1/2 Exposure (s)   Flux (Jy)  Err_flux (Jy)
   7.7132999999999996e+01    5.0000000000000000e+00    3.9200621243190760e-04    6.1177919550704950e-05
   8.7132999999999996e+01    5.0000000000000000e+00    4.3708047021675102e-04    6.3217047695732117e-05
   1.0213300000000000e+02    1.0000000000000000e+01    4.8698129287147516e-04    4.7162033628559105e-05
   1.2213300000000000e+02    1.0000000000000000e+01    3.6909340104961395e-04    4.3367003730869292e-05
   1.4213300000000001e+02    1.0000000000000000e+01    4.0636874504470816e-04    4.5405113075923919e-05
   1.6750149999999999e+02    1.5368499999999999e+01    4.5874779863262164e-04    4.7598844116783139e-05
   2.0287000000000000e+02    2.0000000000000000e+01    3.8572785760116580e-04    8.6809143959712967e-05
   2.4287000000000000e+02    2.0000000000000000e+01    3.6477368916606903e-04    8.9491389587402338e-05
   2.8787000000000000e+02    2.5000000000000000e+01    4.0965946895599366e-04    8.4511240621662140e-05
   3.4287000000000000e+02    3.0000000000000000e+01    4.4645088296413414e-04    8.1685598897838590e-05
   3.9127900000000000e+02    1.8408999999999999e+01    2.0755604320449826e-04    1.0345124151105879e-04
   4.1834799999999996e+03    4.0600000000000000e+02    8.7887034330654145e-05    5.2346961388778669e-06
   5.3084799999999996e+03    5.0900000000000000e+02    8.2168764784812929e-05    8.4428972523880019e-06
   5.9219799999999996e+03    9.9500000000000000e+01    5.5012396816921222e-05    9.9108097228145589e-06
   1.0010480000000000e+04    6.6500000000000000e+02    5.1551278610229486e-05    5.8071598434448246e-06
   1.1332480000000000e+04    6.4500000000000000e+02    4.3762552820205688e-05    3.1234624257946014e-06
   1.6451480000000000e+04    1.3100000000000000e+03    3.0185514986228937e-05    2.6517070985126494e-06
   2.2234480000000000e+04    1.3100000000000000e+03    2.1059843462247850e-05    2.5977616399669646e-06
   2.8071480000000000e+04    1.2580000000000000e+03    2.3000428179931639e-05    2.6299557190990446e-06
   3.6282480000000003e+04    3.5280000000000000e+03    1.2767091855812072e-05    1.9003166487693785e-06
   4.3251480000000003e+04    3.4290000000000000e+03    1.1116992480297089e-05    1.9956202922000886e-06
   5.4591980000000003e+04    3.6555000000000000e+03    1.0548298335628509e-05    2.1586130058059692e-06
   6.9289479999999996e+04    6.3100000000000000e+03    6.2937387103271483e-06    2.7971407945919039e-06
   8.5858979999999996e+04    7.0915000000000000e+03    5.9716196290111542e-06    1.0731427630691528e-06
   1.0307598000000000e+05    6.9565000000000000e+03    2.4368956713037490e-06    1.0464170927896499e-06
   1.3532298000000001e+05    9.6845000000000000e+03    6.3815847379589074e-06    1.4151641018486022e-06
   1.6599398000000001e+05    1.2030500000000000e+04    5.3502025857639310e-06    1.1691442844810487e-06
   2.2174448000000001e+05    2.1495000000000000e+04    3.6592748013496398e-06    1.3781587398462295e-06
   2.5980148000000001e+05    1.2359000000000000e+04    3.0768268570518493e-06    1.5622176898841857e-06
   4.6160997999999998e+05    4.5967500000000000e+04    1.9717523558435439e-07    1.7459735469303131e-06
   5.6853547999999998e+05    5.5505000000000000e+04    8.2199583483982070e-08    1.8401565103912352e-06
   9.1043847999999998e+05    9.0007000000000000e+04    5.6761931069755560e-07    1.7171338667078018e-06
