Time(s)	Mag	MagErr	Filter	System	Telescope	GalExtCorr	Source
17888.5	21.8	0	uvm2_swift	VEGA	Swift/UVOT	no	7112
23728.5	21.2	0	v_swift	VEGA	Swift/UVOT	no	7112
2902	18.5	0	White_swift	VEGA	Swift/UVOT	no	7099
29601.5	22.4	0	uvw1_swift	VEGA	Swift/UVOT	no	7112
30086.5	22.2	0	u_swift	VEGA	Swift/UVOT	no	7112
32682	22.9	0	white_swift	VEGA	Swift/UVOT	no	7112
32689.5	22.5	0	b_swift	VEGA	Swift/UVOT	no	7112
33486.5	22.1	0	uvw2_swift	VEGA	Swift/UVOT	no	7112
34884	23.3	0	R	USNO	Gemini-South	no	7105
37440	20	0	I	none	TAROT-robotic	yes	7108
39030	21	0	i	none	Swope-40inch	no	7104
