Time   		Mag     MagErr  Band	GCN
22419.9 	20.60  	0.06  	R	20215
34161		20.3	0.2	Ic	20216
3221.		20.61	0.2	white	20217
4675.5		>19.0	?	v	20217
3434.		>20.0	?	b	20217
3203.5		>19.8	?	u	20217
5085.5		>19.4	?	w1	20217
4880.5		>19.6	?	m2	20217
2946.		>19.5	?	w2	20217
9791  		>20.2  	?	g'	20218
9791   		19.2	0.2	Rc	20218
9791   		18.6	0.2	Ic	20218
6900       	15.95	0.14	Ks(Vega) 20223
13871.5  	19.90   0.08  	CR	 20224
15939.9  	19.95   0.09  	CR	 20224
103096  	21.60   0.17  	R	 20226
3837    	>16.9	?	z	20242		
4145   		>17.7	?	z	20242
4451   		>18.3	?	z	20242
4709   		>18.6	?	z	20242
4966   		>18.7	?	z	20242
483840		21.6	?	R	20244
