time_sec	flux_R	flux_err_R	band	source
1750	7.034529928558863e-13	1.1656618716513145e-13	R	melandri08
1860	5.848475463859985e-13	8.61987334975153e-14	R	melandri08
1800	5.899598501131488e-13	7.065860767077667e-14	R	melandri08
2000	6.656219452749739e-13	6.749116533501027e-14	R	melandri08
2470	5.848475463859985e-13	3.7740891296926256e-14	R	melandri08
2600	5.337245091144952e-13	3.44679517579316e-14	R	melandri08
3360	4.601073354435304e-13	4.243877467102426e-14	R	melandri08
3500	4.202313663717577e-13	3.098816228081844e-14	R	melandri08
3630	4.4374796351664924e-13	3.2726769848670854e-14	R	melandri08
4690	3.660409468639641e-13	3.3746500510396446e-14	R	melandri08
4820	3.527489571733732e-13	2.9248052147024234e-14	R	melandri08
4950	3.455917319553628e-13	2.873669075030887e-14	R	melandri08
5090	3.4252434971907255e-13	2.842991331870935e-14	R	melandri08
5820	3.4968157493708306e-13	2.5772339579429567e-14	R	melandri08
6350	3.4252434971907255e-13	2.2092236269711744e-14	R	melandri08
7310	3.159403703378908e-13	2.3215594273677822e-14	R	melandri08
8690	2.2698628548547495e-13	1.881693003434294e-14	R	melandri08
36000	8.077439888897533e-14	1.4826267757572796e-14	R	melandri08
37900	8.936306915058789e-14	1.6462265011609123e-14	R	melandri08
39800	7.167449825464772e-14	1.3190263086005563e-14	R	melandri08
