Time      Mag          MagErr                   Band           GCN
303400     24.75        0.18                    r                6486
1806532    25.29        0.05                    r                6486
2662620    25.71        0.13                    r                6486
22818      22.4         0.3                     R                6486
1650       19.12        0.09                    R                6486
2190       19.66        0.14                    V                6486
83.7      >16.0         ?                       R                6303
114.7     >17.8         ?                       R                6303
352.2      >19.7        ?                       R                6305
664.8      >18.7        ?                       R                6305
2354.4     18.27        0.08                    J                6309
2642       17.83        0.13                    H                6309
2930       18.56        0.09                    J                6309
3225.6     17.26        0.18                    K                6309
5994       18.30        0.18                     
