Mid time (s)  1/2 Exposure (s)   Flux (Jy)  Err_flux (Jy)
   1.3350700000000001e+02    1.0000000000000000e+01    9.6673929393768299e-04    5.4842257221508024e-05
   1.5850700000000001e+02    1.5000000000000000e+01    7.6535819736671439e-04    3.8283955967903138e-05
   1.8850700000000001e+02    1.5000000000000000e+01    6.9276869932365407e-04    3.6086149727153778e-05
   2.2357749999999999e+02    2.0070499999999999e+01    5.7703047544383997e-04    4.9008099178791044e-05
   2.6864800000000002e+02    2.5000000000000000e+01    5.0439513140201572e-04    6.7662326675891867e-05
   3.2364800000000002e+02    3.0000000000000000e+01    4.4940794988441464e-04    5.8892751212310786e-05
   3.8864800000000002e+02    3.5000000000000000e+01    3.2219803831386564e-04    5.0658555134296410e-05
   4.6864800000000002e+02    4.5000000000000000e+01    2.5489356512832642e-04    4.1550738079833986e-05
   5.6611199999999997e+02    5.2463999999999999e+01    1.6826627696371079e-04    3.5859466733264921e-05
   7.0801599999999996e+02    5.9500000000000000e+01    1.7691130413064954e-04    2.2934690111703871e-05
   8.7701599999999996e+02    8.0500000000000000e+01    1.3326081930742264e-04    8.8763711707019816e-06
   1.0687260000000001e+03    1.0492200000000000e+02    1.0114136727333070e-04    2.3870279596481323e-05
   1.2925820000000001e+03    1.1893400000000000e+02    1.0766346999750137e-04    2.3702763410997393e-05
   1.5720160000000001e+03    1.5550000000000000e+02    7.2808285337162005e-05    1.1644960096063613e-05
   1.8060160000000001e+03    7.4500000000000000e+01    4.8959196780109402e-05    1.5760020535125732e-05
   5.6245159999999996e+03    5.0900000000000000e+02    2.6138077395343782e-05    3.6961553603553766e-06
   6.7500159999999996e+03    6.1150000000000000e+02    1.9548784812984467e-05    3.5042643855285642e-06
   7.4660159999999996e+03    9.9500000000000000e+01    4.2331138858795161e-05    1.5307469587326050e-05
   1.2098516000000000e+04    1.2080000000000000e+03    1.9092362425289154e-05    3.0241548984718319e-06
   1.3380516000000000e+04    6.9000000000000000e+01    2.0433918229122165e-05    9.6637252594757078e-06
   4.4338516000000003e+04    3.0670000000000000e+03    1.4018356512079239e-05    6.5738577627754203e-06
   5.8712016000000003e+04    5.8615000000000000e+03    1.2661060248670578e-05    5.7754751642990112e-06
   8.7629016000000003e+04    6.4565000000000000e+03    1.3611498743047714e-06    2.3847152837104797e-06
   1.1345901600000000e+05    9.1865000000000000e+03    3.4037088282394405e-06    2.2127494893465041e-06
   1.4007001600000000e+05    1.1915500000000000e+04    8.5712660489273055e-06    9.1487473433589934e-07
   1.7447951600000000e+05    1.7408000000000000e+04    9.2214896613979346e-06    8.5716990389156339e-07
   2.1253851600000000e+05    2.0627000000000000e+04    9.0158703569412230e-06    6.7566050078487398e-07
   2.6109751600000000e+05    2.4028000000000000e+04    5.4013718143844599e-06    4.8659414888191215e-07
   3.1941151600000000e+05    2.9434000000000000e+04    4.9833327156543732e-06    8.5966851082420352e-07
   3.9171201600000000e+05    3.8133500000000000e+04    2.6588641683197017e-06    7.1170819081306466e-07
   4.8138101600000000e+05    4.6804500000000000e+04    2.9998819891262054e-06    5.9674934891223904e-07
   5.9127351599999995e+05    5.8352000000000000e+04    2.3324686741189952e-06    1.0242887573862075e-06
   7.1787501599999995e+05    6.3150500000000000e+04    1.9862396914529799e-06    7.2488382145786271e-07
   8.5344551599999995e+05    1.5000000000000000e+04    1.9120303014535901e-06    1.0364430410585402e-06
