date	time	exp	mag	mag_err	band	source
2020-10-20	05:49:51.16	147.0	18.19	0.05	white	manual
2020-10-20	05:57:09.16	38.0	19.39	0.23	white	manual
2020-10-20	08:30:51.16	885.0	19.71	0.09	white	manual
2020-10-20	05:57:58.16	38.0	17.91	0.28	v	manual
2020-10-20	11:48:19.16	485.0	19.26	0.28	v	manual
2020-10-20	15:21:59.16	798.0	19.86	0.29	v	manual
2020-10-20	12:07:48.16	630.0	20.35	0.21	b	manual
2020-10-20	16:41:05.16	759.0	21.05	0.36	b	manual
2020-10-20	05:52:29.16	245.0	19.76	0.27	b	manual
2020-10-20	14:00:44	4200.0	19.7	0.03	r	manual
2018-10-20	16:06:30	3600.0	20.0	0.1	R	manual
2020-10-20	10:28:07	900.0	19.361	0.059	V	manual
2020-10-20	10:33:21	900.0	19.006	0.042	R	manual
2020-10-20	10:38:35	900.0	18.767	0.039	I	manual
2020-10-20	05:49:30.16	150.0	18.14	0.15	white	manual
2020-10-20	09:15:39	n/a	18.4	0.1	Rc	manual
2020-10-20	13:05:53.66	n/a	19.43	0.06	r	manual
2020-10-20	13:11:10.75	n/a	19.49	0.05	r	manual
2020-10-20	13:21:38.87	n/a	19.52	0.04	r	manual
2020-10-20	13:27:03.74	n/a	19.59	0.04	r	manual
2020-10-20	13:32:14.78	n/a	19.63	0.04	r	manual
2020-10-20	13:37:24.09	n/a	19.65	0.04	r	manual
2020-10-20	13:48:25	n/a	19.69	0.06	r	manual
