time_sec	flux	flux_err	band	logF	logT	mag	mag_err
632.16	1.393459105928627e-12	3.6152987533480893e-13	v	-11.855905772074568	2.800827012337371	17.91	0.28
21653.16	4.018779959816786e-13	1.0426635497870212e-13	v	-12.395905772074569	4.335521285004305	19.26	0.28
34473.16	2.3125664882487973e-13	6.21166219926239e-14	v	-12.635905772074567	4.537481095060438	19.86	0.29
29598.0	2.2977405479909987e-13	6.419891770484924e-15	r	-12.63869901173877	4.471262365845785	19.7	0.03
-63121256.0	1.4330173031388453e-13	1.319857712084014e-14	R	-12.843748565630323		20.0	0.1
16841.0	3.661796691314435e-13	2.2450986549382766e-14	V	-12.436305772074569	4.226367875856486	19.361	0.059
17155.0	3.57973958631122e-13	1.3847660413844691e-14	R	-12.446148565630324	4.234390722392193	19.006	0.042
17469.0	2.764395996544323e-13	1.4523309728644753e-14	I	-12.5583997446569	4.2422680448276875	18.767	0.039
12493.0	6.140331135547997e-13	5.660217399096253e-14	Rc	-12.211808207610707	4.096666739975382	18.4	0.1
26307.66	2.946462975697661e-13	1.6328469255049247e-14	r	-12.530699011738772	4.42008222040487	19.43	0.06
26624.75	2.7880527621935676e-13	1.2891332065033336e-14	r	-12.554699011738771	4.4252855385451895	19.49	0.05
27252.87	2.7120705841674896e-13	1.0054642152626822e-14	r	-12.566699011738772	4.435412244577074	19.52	0.04
27577.74	2.5427343398167133e-13	9.426850475538348e-15	r	-12.594699011738772	4.440558672799031	19.59	0.04
27888.78	2.450761156080689e-13	9.085872089687306e-15	r	-12.61069901173877	4.445429516386641	19.63	0.04
28198.09	2.4060297238154953e-13	8.920036234593199e-15	r	-12.618699011738771	4.450219692342304	19.65	0.04
28859.0	2.3190012795153353e-13	1.285125297935237e-14	r	-12.634699011738771	4.460281278177911	19.69	0.06
