date	time	exp	mag	mag_err	band	source
2010-05-08	09:23:14.000	150	18.87	0.09	white	manual
2010-05-08	09:25:52.000	250	19.25	0.2	u	manual
2010-05-08	09:35:06.000	150	20.7	0.44	white	manual
2010-05-08	09:35:06.000	147	20.7	0.31	white	manual
2010-05-08	12:35:50.000	295	21.22	0.3	white	manual
2010-05-08	09:25:52.000	246	19.16	0.15	u	manual
2010-05-08	11:15:02.000	197	20.12	0.36	u	manual
2010-05-08	22:50:00.000	15.3x60	22.0	0.1	g	manual
2010-05-08	22:50:00.000	15.3x60	21.8	0.1	r	manual
2010-05-08	22:50:00.000	15.3x60	21.5	0.1	i	manual
2010-05-08	22:50:00.000	15.3x60	21.7	0.2	z	manual
2010-05-08	09:23:14.000	147	18.91	0.07	whitefc	manual
