#time	mag	mag_err	band
42.0	12.611	0.019	R
49.0	12.819	0.024	R
55.0	13.013	0.021	R
61.0	13.141	0.024	R
67.0	13.32	0.019	R
157.0	14.202	0.031	R
249.0	14.57	0.023	R
340.0	15.221	0.024	R
431.0	16.059	0.082	R
522.0	16.569	0.091	R
568.6	16.528	0.016	R
595.0	16.669	0.097	R
654.0	16.861	0.089	R
681.3	16.866	0.018	R
787.68	17.182	0.121	R
794.0	17.157	0.02	R
906.8	17.393	0.02	R
1009.95	17.531	0.147	R
1019.6	17.586	0.02	R
1132.3	17.76	0.02	R
1245.1	17.921	0.02	R
1357.9	18.049	0.023	R
1422.34	17.923000000000002	0.154	R
1470.7	18.159	0.025	R
1583.5	18.274	0.026	R
1696.3	18.365000000000002	0.028	R
1809.1	18.46	0.034	R
1922.0	18.544	0.033	R
2034.8	18.634	0.04	R
2147.6	18.685	0.037	R
2260.3	18.744	0.042	R
2373.1	18.761	0.048	R
2485.9	18.761	0.064	R
2598.7	18.862000000000002	0.044	R
2711.4	18.907	0.049	R
2824.2	18.924	0.05	R
2937.0	18.929000000000002	0.054	R
3049.7	18.962	0.054	R
3162.5	18.97	0.052	R
3275.3	18.98	0.056	R
3388.2	18.989	0.055	R
3501.0	18.978	0.05	R
3613.8	18.959	0.056	R
3726.5	19.005	0.055	R
3839.3	19.026	0.056	R
4062.4	19.008	0.056	R
4175.3	19.016000000000002	0.055	R
4288.1	19.014	0.057	R
4401.0	19.028	0.051	R
4513.8	18.987000000000002	0.054	R
4626.6	18.97	0.053	R
4739.4	18.983	0.065	R
4852.2	18.98	0.057	R
5002.6	18.965	0.05	R
9523.7	18.41	0.25	R
77044.0	19.25	0.06	R
515855.0	22.43	0.3	R
604978.0	22.88	0.5	R
682940.0	23.22	0.6	R
