Date,JD,Phase,time,mag,mag_err,Band,source
2015-09-09,.274..52.,.44..24.,4147200,0,0,z,.arXiV:2101..0943.
2015-09-09,.274..53.,.44..25.,4147200,0,0,z,.arXiV:2101..0943.
2015-09-17,.282..78.,.52..5.,4838400,0,0,z,.arXiV:2101..0943.
2015-09-17,.282..79.,.52..51.,4838400,0,0,z,.arXiV:2101..0943.
2015-09-25,.290..6.,.60..32.,5529600,0,0,z,.arXiV:2101..0943.
2015-09-25,.290..61.,.60..33.,5529600,0,0,z,.arXiV:2101..0943.
2015-10-04,.299..74.,.69..46.,6307200,0,0,z,.arXiV:2101..0943.
2015-10-04,.299..74.,.69..46.,6307200,0,0,z,.arXiV:2101..0943.
2015-10-07,.302..66.,.72..38.,6566400,0,0,z,.arXiV:2101..0943.
2015-10-07,.302..67.,.72..39.,6566400,0,0,z,.arXiV:2101..0943.
2015-10-16,.311..7.,.81..42.,7344000,0,0,z,.arXiV:2101..0943.
2015-10-16,.311..7.,.81..42.,7344000,0,0,z,.arXiV:2101..0943.
2015-10-26,.321..51.,.91..23.,8208000,0,0,z,.arXiV:2101..0943.
2015-10-26,.321..52.,.91..24.,8208000,0,0,z,.arXiV:2101..0943.
2015-11-03,.329..55.,.99..27.,8812800,0,0,z,.arXiV:2101..0943.
2015-11-03,.329..56.,.99..28.,8812800,0,0,z,.arXiV:2101..0943.
2015-11-04,.331..43.,.101..16.,8899200,.18..12.,.0..11.,z,.arXiV:2101..0943.
2015-11-08,.335..34.,.105..06.,9244800,.18..2.,.0..06.,z,.arXiV:2101..0943.
2015-11-12,.338..52.,.108..24.,9590400,0,0,z,.arXiV:2101..0943.
2015-11-12,.338..53.,.108..25.,9590400,0,0,z,.arXiV:2101..0943.
2015-11-14,.340..53.,.110..25.,9763200,0,0,z,.arXiV:2101..0943.
2015-11-14,.340..53.,.110..25.,9763200,0,0,z,.arXiV:2101..0943.
2015-11-22,.348..6.,.118..32.,10454400,0,0,z,.arXiV:2101..0943.
2015-11-22,.348..61.,.118..33.,10454400,0,0,z,.arXiV:2101..0943.
2015-11-30,.356..54.,.126..26.,11145600,0,0,z,.arXiV:2101..0943.
2015-11-30,.356..55.,.126..27.,11145600,0,0,z,.arXiV:2101..0943.
2015-12-02,.335..34.,.128..97.,11318400,.18..72.,.0..06.,z,.arXiV:2101..0943.
2015-12-05,.359..25.,.131..91.,11577600,.18..89.,.0..07.,z,.arXiV:2101..0943.
2015-12-09,.362..53.,.135..25.,11923200,0,0,z,.arXiV:2101..0943.
2015-12-09,.365..53.,.135..25.,11923200,0,0,z,.arXiV:2101..0943.
2015-12-10,.366..53.,.136..25.,12009600,0,0,z,.arXiV:2101..0943.
2015-12-10,.366..54.,.136..26.,12009600,0,0,z,.arXiV:2101..0943.
2015-12-19,.376..23.,.145..95.,12787200,.19..02.,.0..07.,z,.arXiV:2101..0943.
2016-08-08,.609..57.,.379..29.,32918400,0,0,z,.arXiV:2101..0943.
