time,mag,mag_err,Band,source
0,17.12,0.06,B,arXiV:2101.0943
0,17.07,0.03,B,arXiV:2101.0943
259200,17.26,0.05,B,arXiV:2101.0943
259200,17.19,0.05,B,arXiV:2101.0943
604800,17.62,0.1,B,arXiV:2101.0943
604800,17.56,0.09,B,arXiV:2101.0943
1123200,18.38,0.14,B,arXiV:2101.0943
1123200,18.39,0.13,B,arXiV:2101.0943
1209600,18.53,0.13,B,arXiV:2101.0943
1382400,18.88,0.15,B,arXiV:2101.0943
1382400,19.15,0.19,B,arXiV:2101.0943
1555200,18.84,0.11,B,arXiV:2101.0943
1641600,18.9,0.12,B,arXiV:2101.0943
1728000,18.58,0.19,B,arXiV:2101.0943
1728000,18.87,0.19,B,arXiV:2101.0943
2073600,19.48,0.21,B,arXiV:2101.0943
2073600,0,0,B,arXiV:2101.0943
2592000,19.33,0.25,B,arXiV:2101.0943
2937600,19.23,0.2,B,arXiV:2101.0943
3024000,19.44,0.26,B,arXiV:2101.0943
3369600,19.46,0.22,B,arXiV:2101.0943
3628800,0,0,B,arXiV:2101.0943
3628800,0,0,B,arXiV:2101.0943
3715200,19.72,0.15,B,arXiV:2101.0943
3715200,19.54,0.11,B,arXiV:2101.0943
3801600,19.95,0.05,B,arXiV:2101.0943
4060800,19.32,0.1,B,arXiV:2101.0943
4060800,19.6,0.11,B,arXiV:2101.0943
4060800,19.97,0.16,B,arXiV:2101.0943
4060800,19.62,0.12,B,arXiV:2101.0943
4060800,19.74,0.14,B,arXiV:2101.0943
4060800,20,0.48,B,arXiV:2101.0943
4147200,19.48,0.13,B,arXiV:2101.0943
4147200,19.42,0.1,B,arXiV:2101.0943
4838400,19.71,0.06,B,arXiV:2101.0943
4838400,19.77,0.06,B,arXiV:2101.0943
5529600,0,0,B,arXiV:2101.0943
5529600,0,0,B,arXiV:2101.0943
6307200,0,0,B,arXiV:2101.0943
6307200,0,0,B,arXiV:2101.0943
6566400,20,0.07,B,arXiV:2101.0943
6566400,19.93,0.06,B,arXiV:2101.0943
7344000,20.08,0.08,B,arXiV:2101.0943
7344000,19.99,0.09,B,arXiV:2101.0943
8208000,20.42,0.31,B,arXiV:2101.0943
8208000,20.17,0.22,B,arXiV:2101.0943
8812800,20.64,0.13,B,arXiV:2101.0943
8812800,20.58,0.14,B,arXiV:2101.0943
8899200,20.58,0.03,B,arXiV:2101.0943
9244800,20.02,0.14,B,arXiV:2101.0943
9590400,0,0,B,arXiV:2101.0943
9590400,0,0,B,arXiV:2101.0943
9763200,20.79,0.15,B,arXiV:2101.0943
9763200,20.54,0.11,B,arXiV:2101.0943
10454400,0,0,B,arXiV:2101.0943
10454400,0,0,B,arXiV:2101.0943
11145600,20.73,0.15,B,arXiV:2101.0943
11145600,20.74,0.17,B,arXiV:2101.0943
11318400,20.56,0.19,B,arXiV:2101.0943
11577600,0,0,B,arXiV:2101.0943
11923200,20.75,0.24,B,arXiV:2101.0943
11923200,21.21,0.26,B,arXiV:2101.0943
12009600,20.73,0.18,B,arXiV:2101.0943
12009600,21.01,0.22,B,arXiV:2101.0943
12787200,0,0,B,arXiV:2101.0943
32918400,0,0,B,arXiV:2101.0943
0,16.74,0.02,g,arXiV:2101.0943
0,16.7,0.03,g,arXiV:2101.0943
259200,16.52,0.02,g,arXiV:2101.0943
259200,16.54,0.02,g,arXiV:2101.0943
604800,16.92,0.07,g,arXiV:2101.0943
604800,16.9,0.06,g,arXiV:2101.0943
1123200,17.75,0.07,g,arXiV:2101.0943
1123200,17.7,0.09,g,arXiV:2101.0943
1209600,17.7,0.01,g,arXiV:2101.0943
