,Date,JD ^a,Phase ^b,z
0,2015-07-23,226.8,-3.47,
1,2015-07-23,226.8,-3.47,
2,2015-07-26,230.26,-0.01,
3,2015-07-26,230.26,-0.01,
4,2015-07-30,234.04,3.76,
5,2015-07-30,234.04,3.76,
6,2015-08-05,239.84,9.56,
7,2015-08-05,239.85,9.57,
8,2015-08-06,241.52,11.25,16.42      0.03
9,2015-08-08,243.44,13.16,
10,2015-08-08,243.45,13.17,
11,2015-08-10,245.53,15.25,16.69      0.06
12,2015-08-11,246.57,16.29,17.09      0.02
13,2015-08-12,247.35,17.07,
14,2015-08-12,247.35,17.07,
15,2015-08-16,251.15,20.87,
16,2015-08-16,251.16,20.88,
17,2015-08-22,256.57,26.29,
18,2015-08-26,260.91,30.63,
19,2015-08-27,262.23,31.95,
20,2015-08-31,265.8,35.52,
21,2015-09-03,269.34,39.06,
22,2015-09-03,269.34,39.06,
23,2015-09-04,269.73,39.45,
24,2015-09-04,269.74,39.46,
25,2015-09-05,271.59,41.31,17.71      0.09
26,2015-09-08,274.33,44.05,
27,2015-09-08,274.33,44.05,
28,2015-09-08,274.34,44.06,
29,2015-09-08,274.37,44.09,
30,2015-09-08,274.38,44.1,
31,2015-09-08,274.47,44.19,17.76      0.06
32,2015-09-09,274.52,44.24,
33,2015-09-09,274.53,44.25,
34,2015-09-17,282.78,52.5,
35,2015-09-17,282.79,52.51,
36,2015-09-25,290.6,60.32,
37,2015-09-25,290.61,60.33,
38,2015-10-04,299.74,69.46,
39,2015-10-04,299.74,69.46,
40,2015-10-07,302.66,72.38,
41,2015-10-07,302.67,72.39,
42,2015-10-16,311.7,81.42,
43,2015-10-16,311.7,81.42,
44,2015-10-26,321.51,91.23,
45,2015-10-26,321.52,91.24,
46,2015-11-03,329.55,99.27,
47,2015-11-03,329.56,99.28,
48,2015-11-04,331.43,101.16,18.12      0.11
49,2015-11-08,335.34,105.06,18.20      0.06
50,2015-11-12,338.52,108.24,
51,2015-11-12,338.53,108.25,
52,2015-11-14,340.53,110.25,
53,2015-11-14,340.53,110.25,
54,2015-11-22,348.6,118.32,
55,2015-11-22,348.61,118.33,
56,2015-11-30,356.54,126.26,
57,2015-11-30,356.55,126.27,
58,2015-12-02,335.34,128.97,18.72      0.06
59,2015-12-05,359.25,131.91,18.89      0.07
60,2015-12-09,362.53,135.25,
61,2015-12-09,365.53,135.25,
62,2015-12-10,366.53,136.25,
63,2015-12-10,366.54,136.26,
64,2015-12-19,376.23,145.95,19.02      0.07
65,2016-08-08,609.57,379.29,cdts
