time,,2761, err, band, gcn
Sept. 3.595 UT, 17.5,0,R,1537
Sept 29.931 UT, 18.55 , 0.2,R,1560
Oct 1.9 UT, B,      1.941  21.87 , 0.06,1563
Oct 1.9 UT, V,      1.932  21.14 , 0.04,1563
Oct 1.9 UT, R,      1.916  20.60 , 0.09,1563
Oct 1.9 UT, I,     1.919  20.29 , 0.07,1563
Sept 29.923,  20.94 , 0.12, V,1563
Sept 29.931,  20.42 , 0.10, R,1563
Sept 29.937,  19.98 , 0.13, I,1563
Oct 10.2 UT,B , 21.89 , 0.15,1631
Oct 10.2 UT,V , 21.07 , 0.12,1631
Oct 10.2 UT,R , 20.54 , 0.12,1631
#,g' , 21.30 , 0.07,g',2761
#,r' , 20.18 , 0.14,r',2761
