GRB	photon_index	photon_index_err	trigger_date	trigger_time	T90	z	ra	dec
980326	2.1	0.13	1998-03-26	21:18:53	5.0	1.0	08:36:34.28	-18:51:23.9
010921	2.1	0.4181986325385693	2001-09-21	05:15:50	21.77	0.45	22:55:59.9	+40:55:53
020124	2.36	0.23	2002-01-24	10:41:14.784	45.91	3.198	09:32:50.81	-11:31:10.6
020305	1.63	0.16	2002-03-05	11:55:25	247.0	n/a	12:42:27.94	-14:18:11.8
041219	1.92	0.1	2004-12-19	01:42:18	n/a	n/a		00:24:27.68		+62:50:33.5
041218	1.4	0.125	n/a	n/a	60.0	n/a	01:39:07.35	+71:20:29.2
041223	2.1	0.125	2004-12-23	14:06:18	109.1	n/a	06:40:47.38	-37:04:24.6
050124	1.9	0.22	2005-01-24	11:30:03	4.0	n/a	12:51:30.47	+13:02:39.2
050126	2.2	0.21	2005-01-26	12:00:54	24.8	1.29	18:32:27.08	+42:22:13.7
050128	1.9	0.0846	2005-01-28	04:19:55	19.2	n/a	14:38:17.72	-34:45:55.3
050215	1.6	0.4	n/a	n/a	n/a	n/a	11:37:47.57	+40:47:49.1
050219A	1.5	0.265	2005-02-19	12:40:01	23.7	0.2115	11:05:38.95	-40:41:02.7
050223	1.8	0.53	2005-02-23	03:09:06	22.5	0.5915	18:05:32.40	-62:28:20.3
050315	2.0	0.07565	2005-03-15	20:59:43	95.6	1.949	20:25:54.17	-42:36:01.9
050318	2.0	0.0898	2005-03-18	15:44:37	32.0	1.44	03:18:51.12	-46:23:45.7
050319	2.0	0.06995	2005-03-19	09:31:18	152.5	3.24	10:16:47.91	+43:32:52.7
050326	1.9	0.195	2005-03-26	09:53:56	29.3	n/a	00:27:47.04	-71:22:15.2
050401	1.8	0.13	2005-04-01	14:20:15	33.3	2.9	16:31:28.81	+02:11:14.4
050406	2.3	0.39	2005-04-06	15:58:48	5.4	2.7	02:17:52.15	-50:11:16.8
050408	2.1	0.145	2005-04-08	16:22:51	34.0	1.2357	12:02:17.33	+10:51:09.5
050410	1.9	0.315	2005-04-10	12:14:34	42.5	n/a	05:59:13.76	+79:36:13.1
050412	3.0	1.85	2005-04-12	05:44:03	26.5	n/a	12:04:25.24	-01:12:00.6
050416A	2.0	0.09855	2005-04-16	11:04:44	2.5	0.6528	12:33:54.63	+21:03:26.6
050421	2.2	0.505	2005-04-21	04:11:52	15.0	n/a	20:29:02.78	+73:39:17.9
050422	2.4	0.345	2005-04-22	07:52:40	59.3	n/a	21:37:54.71	+55:46:44.9
050502	1.9	0.10075	2005-05-02	02:13:57	20.0	3.793	09:30:10.13	+16:59:47.7
