# Taken from Schlafly & Finkbeiner (2011)
# http://adsabs.harvard.edu/abs/2011ApJ...737..103S
# Table 6
# F99 Reddening in Different Bandpasses

Bandpass	lambda_eff	2.1	3.1	4.1	5.1
Landolt U	3508.2	5.614	4.334	3.773	3.460
Landolt B	4329.0	4.355	3.626	3.290	3.096
Landolt V	5421.7	2.953	2.742	2.645	2.589
Landolt R	6427.8	2.124	2.169	2.189	2.201
Landolt I	8048.4	1.410	1.505	1.548	1.573
CTIO U	3733.9	5.170	4.107	3.628	3.355
CTIO B	4308.9	4.382	3.641	3.300	3.104
CTIO V	5516.6	2.857	2.682	2.600	2.553
CTIO R	6520.2	2.055	2.119	2.149	2.166
CTIO I	8006.9	1.420	1.516	1.561	1.587
UKIRT J	12482.9	0.764	0.709	0.684	0.669
UKIRT H	16588.4	0.502	0.449	0.425	0.411
UKIRT K	21897.7	0.331	0.302	0.288	0.280
UKIRT L"	37772.5	0.159	0.153	0.150	0.148
Gunn g	5200.0	3.225	2.914	2.770	2.687
Gunn r	6628.5	1.959	2.055	2.099	2.125
Gunn i	7898.6	1.454	1.555	1.601	1.628
Gunn z	9050.1	1.188	1.234	1.255	1.267
Spinrad R_S	6927.3	1.810	1.921	1.972	2.002
Stromgren u	3510.0	5.539	4.305	3.759	3.452
Stromgren b	4670.5	3.916	3.350	3.089	2.938
Stromgren v	4119.2	4.619	3.793	3.411	3.191
Stromgren beta	4861.3	3.655	3.183	2.966	2.840
Stromgren y	5478.9	2.862	2.686	2.605	2.557
SDSS u	3586.8	5.419	4.239	3.715	3.419
SDSS g	4716.7	3.843	3.303	3.054	2.910
SDSS r	6165.1	2.255	2.285	2.300	2.308
SDSS i	7475.9	1.583	1.698	1.751	1.782
SDSS z	8922.9	1.211	1.263	1.286	1.300
DSS-II g	4620.6	3.970	3.381	3.110	2.954
DSS-II r	6545.5	1.991	2.088	2.133	2.159
DSS-II i	8111.0	1.396	1.487	1.530	1.554
PS1 g	4876.7	3.634	3.172	2.958	2.835
PS1 r	6200.1	2.241	2.271	2.284	2.292
PS1 i	7520.8	1.568	1.682	1.734	1.765
PS1 z	8665.3	1.258	1.322	1.352	1.369
PS1 y	9706.3	1.074	1.087	1.094	1.097
PS1 w	6240.8	2.425	2.341	2.302	2.280
LSST u	3693.2	5.243	4.145	3.652	3.373
LSST g	4797.3	3.739	3.237	3.006	2.872
LSST r	6195.8	2.245	2.273	2.286	2.294
LSST i	7515.3	1.571	1.684	1.737	1.767
LSST z	8664.4	1.259	1.323	1.353	1.370
LSST y	9710.3	1.075	1.088	1.094	1.098
WFPC2 F300W	3087.6	6.777	4.902	4.127	3.710
WFPC2 F450W	4587.0	4.014	3.410	3.132	2.971
WFPC2 F555W	5439.4	2.976	2.755	2.653	2.594
WFPC2 F606W	5984.8	2.469	2.415	2.389	2.375
WFPC2 F702W	6887.9	1.850	1.948	1.994	2.020
WFPC2 F814W	7940.0	1.452	1.549	1.594	1.620
WFC3 F105W	10438.9	0.981	0.969	0.964	0.961
WFC3 F110W	11169.7	0.907	0.881	0.870	0.863
WFC3 F125W	12335.5	0.778	0.726	0.701	0.687
WFC3 F140W	13692.3	0.672	0.613	0.586	0.570
WFC3 F160W	15258.3	0.570	0.512	0.485	0.469
WFC3 F200LP	5515.2	3.457	2.958	2.743	2.625
WFC3 F218W	2248.3	12.405	7.760	5.956	5.027
WFC3 F225W	2394.0	10.907	6.989	5.458	4.666
WFC3 F275W	2742.5	7.986	5.487	4.488	3.963
WFC3 F300X	2934.5	7.437	5.228	4.331	3.854
WFC3 F336W	3366.4	5.835	4.453	3.853	3.519
WFC3 F350LP	5877.1	2.876	2.624	2.509	2.443
WFC3 F390W	3994.8	4.803	3.896	3.481	3.244
WFC3 F438W	4335.3	4.347	3.623	3.288	3.095
WFC3 F475W	4785.0	3.755	3.248	3.013	2.878
WFC3 F475X	4969.7	3.548	3.116	2.917	2.803
WFC3 F555W	5302.8	3.135	2.855	2.726	2.652
WFC3 F600LP	7362.3	1.688	1.781	1.824	1.849
WFC3 F606W	5868.5	2.581	2.488	2.445	2.421
WFC3 F625W	6225.8	2.230	2.259	2.273	2.281
WFC3 F775W	7630.9	1.533	1.643	1.694	1.724
