Tstart(daltrigger) Tend    Terr Exposure Filter     Mag         Err   Err+   Err-   1sigma   Telescope       Reference  UpperLimit  LowerLimit
7.6322e+03 -9. -9. -9.  120.0  zz   19.05 0.35 -9. -9. -9. P60 cenko09 0 NNN 0. 0. 0 AB 
7.8164e+03 -9. -9. -9.  120.0  zz   19.16 0.36 -9. -9. -9. P60 cenko09 0 NNN 0. 0. 0 AB 
8.0013e+03 -9. -9. -9.  120.0  gg   20.54 0.18 -9. -9. -9. P60 cenko09 0 NNN 0. 0. 0 AB 
8.1841e+03 -9. -9. -9.  120.0  gg   20.34 0.18 -9. -9. -9. P60 cenko09 0 NNN 0. 0. 0 AB 
8.3659e+03 -9. -9. -9.  120.0  gg   20.37 0.18 -9. -9. -9. P60 cenko09 0 NNN 0. 0. 0 AB 
8.5536e+03 -9. -9. -9.  120.0  RC   19.31 0.15 -9. -9. -9. P60 cenko09 0 NNN 0. 0. 0 nnn 
8.7315e+03 -9. -9. -9.  120.0  RC   19.27 0.16 -9. -9. -9. P60 cenko09 0 NNN 0. 0. 0 nnn 
8.9092e+03 -9. -9. -9.  120.0  RC   19.31 0.16 -9. -9. -9. P60 cenko09 0 NNN 0. 0. 0 nnn 
9.0917e+03 -9. -9. -9.  120.0  ii   19.10 0.19 -9. -9. -9. P60 cenko09 0 NNN 0. 0. 0 AB 
9.2769e+03 -9. -9. -9.  120.0  ii   19.07 0.18 -9. -9. -9. P60 cenko09 0 NNN 0. 0. 0 AB 
9.4577e+03 -9. -9. -9.  120.0  ii   19.09 0.18 -9. -9. -9. P60 cenko09 0 NNN 0. 0. 0 AB 
9.6443e+03 -9. -9. -9.  120.0  zz   18.95 0.36 -9. -9. -9. P60 cenko09 0 NNN 0. 0. 0 AB 
9.8290e+03 -9. -9. -9.  120.0  zz   18.91 0.35 -9. -9. -9. P60 cenko09 0 NNN 0. 0. 0 AB 
1.0010e+04 -9. -9. -9.  120.0  zz   18.85 0.35 -9. -9. -9. P60 cenko09 0 NNN 0. 0. 0 AB 
1.0200e+04 -9. -9. -9.  120.0  gg   20.36 0.19 -9. -9. -9. P60 cenko09 0 NNN 0. 0. 0 AB 
1.0380e+04 -9. -9. -9.  120.0  gg   20.36 0.19 -9. -9. -9. P60 cenko09 0 NNN 0. 0. 0 AB 
1.0560e+04 -9. -9. -9.  120.0  gg   20.32 0.18 -9. -9. -9. P60 cenko09 0 NNN 0. 0. 0 AB 
1.0750e+04 -9. -9. -9.  120.0  RC   19.21 0.17 -9. -9. -9. P60 cenko09 0 NNN 0. 0. 0 nnn
