# t(s)	flux(erg)	err		beta(from Wang 2015)	z
39744	1.86057E-13	6.85461E-15	0.51		3.211
40349	1.72841E-13	6.3677E-15	0.51		3.211
41040	1.82662E-13	5.04713E-15	0.51		3.211
41645	1.77684E-13	4.90958E-15	0.51		3.211
42250	1.63549E-13	4.51902E-15	0.51		3.211
42941	1.77684E-13	4.90958E-15	0.51		3.211
43546	1.63549E-13	4.51902E-15	0.51		3.211
44150	1.66589E-13	4.60304E-15	0.51		3.211
44842	1.54756E-13	5.70142E-15	0.51		3.211
45619	1.54756E-13	4.27607E-15	0.51		3.211
46483	1.51931E-13	4.19801E-15	0.51		3.211
47088	1.62049E-13	4.47759E-15	0.51		3.211
47779	1.51931E-13	4.19801E-15	0.51		3.211
48384	1.36034E-13	5.01168E-15	0.51		3.211
49075	1.46436E-13	4.04617E-15	0.51		3.211
49680	1.32327E-13	4.87509E-15	0.51		3.211
50458	1.34787E-13	4.96573E-15	0.51		3.211
51322	1.22927E-13	4.5288E-15	0.51		3.211
51926	1.37292E-13	5.05804E-15	0.51		3.211
52531	1.33551E-13	4.9202E-15	0.51		3.211
53222	1.37292E-13	5.05804E-15	0.51		3.211
53827	1.38563E-13	5.10485E-15	0.51		3.211
54432	1.22927E-13	4.5288E-15	0.51		3.211
55123	1.2754E-13	4.69875E-15	0.51		3.211
55728	1.29911E-13	4.78611E-15	0.51		3.211
56333	1.25212E-13	4.61299E-15	0.51		3.211
57024	1.31113E-13	4.8304E-15	0.51		3.211
57629	1.24064E-13	4.5707E-15	0.51		3.211
58234	1.26371E-13	4.65568E-15	0.51		3.211
58925	1.34787E-13	4.96573E-15	0.51		3.211
59530	1.43763E-13	5.29643E-15	0.51		3.211
60221	1.43763E-13	5.29643E-15	0.51		3.211
60826	1.2872E-13	4.74223E-15	0.51		3.211
61430	1.38563E-13	5.10485E-15	0.51		3.211
62122	1.29911E-13	4.78611E-15	0.51		3.211
62726	1.39845E-13	5.15208E-15	0.51		3.211
63331	1.22927E-13	5.661E-15	0.51		3.211
64022	1.18481E-13	6.54748E-15	0.51		3.211
64627	1.20683E-13	5.55767E-15	0.51		3.211
65232	1.20683E-13	6.6692E-15	0.51		3.211
126230	6.39214E-14	6.47612E-15	0.51		3.211
126835	7.47561E-14	4.8197E-15	0.51		3.211
127526	7.13916E-14	4.60279E-15	0.51		3.211
128131	6.0485E-14	5.01378E-15	0.51		3.211
129082	7.07371E-14	4.56059E-15	0.51		3.211
129773	6.69341E-14	4.93188E-15	0.51		3.211
130550	7.82793E-14	5.76783E-15	0.51		3.211
131155	6.33356E-14	5.25008E-15	0.51		3.211
131760	6.75535E-14	4.97752E-15	0.51		3.211
132451	5.67084E-14	5.22304E-15	0.51		3.211
133142	6.21795E-14	4.58156E-15	0.51		3.211
133747	5.82972E-14	4.83243E-15	0.51		3.211
134438	6.63204E-14	4.27584E-15	0.51		3.211
135043	5.93809E-14	3.82843E-15	0.51		3.211
135648	5.56733E-14	4.10216E-15	0.51		3.211
136339	5.72331E-14	4.74423E-15	0.51		3.211
136944	4.76044E-14	4.38453E-15	0.51		3.211
137549	4.42229E-14	4.48038E-15	0.51		3.211
138326	4.80449E-14	3.98259E-15	0.51		3.211
138931	5.17186E-14	3.81077E-15	0.51		3.211
139536	5.12445E-14	3.77583E-15	0.51		3.211
140227	5.61884E-14	4.14012E-15	0.51		3.211
140832	4.89381E-14	4.05663E-15	0.51		3.211
141437	5.36596E-14	3.45956E-15	0.51		3.211
142128	5.31677E-14	3.91754E-15	0.51		3.211
142733	4.46321E-14	4.11077E-15	0.51		3.211
143338	4.67355E-14	4.73495E-15	0.51		3.211
144029	5.41561E-14	4.48916E-15	0.51		3.211
144634	4.67355E-14	4.3045E-15	0.51		3.211
145238	4.71679E-14	4.34432E-15	0.51		3.211
145930	4.76044E-14	4.38453E-15	0.51		3.211
146534	4.34157E-14	4.3986E-15	0.51		3.211
147139	4.54618E-14	4.18719E-15	0.51		3.211
147830	5.03092E-14	4.17028E-15	0.51		3.211
148435	4.58825E-14	4.22594E-15	0.51		3.211
149040	4.71679E-14	4.34432E-15	0.51		3.211
149731	5.31677E-14	4.40723E-15	0.51		3.211
150336	4.76044E-14	4.82298E-15	0.51		3.211
150941	4.50451E-14	4.56368E-15	0.51		3.211
213667	2.2576E-14	1.2476E-15	0.51		3.211
216605	2.29957E-14	1.05899E-15	0.51		3.211
234576	1.96629E-14	7.24408E-16	0.51		3.211
302054	1.32327E-14	8.53142E-16	0.51		3.211
39658	1.80987E-13	5.00085E-15	0.51		3.211
