Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (erg/cm^2/s/A)
             81.0000               5.0000    2.0892951501865039e-14    3.0788992039529810e-15
             97.0000               5.0000    3.3728715275109368e-14    2.1745706985539667e-15
            112.0000               5.0000    5.1522840967510073e-14    9.0163154021582964e-15
            127.0000               5.0000    5.5462546069802193e-14    6.1299473028598667e-15
            142.0000               5.0000    5.1050476715232500e-14    9.4038456046958412e-16
            604.0000              75.0000    1.6443709455169674e-14    4.5435649625996399e-16
           1458.0000              75.0000    4.8305856476182051e-15    1.7796535716543850e-16
           2738.0000              75.0000    1.4321871698384815e-15    2.9020049718724054e-16
           4649.0000               0.0010    1.4190567987467710e-15    7.8419978999295790e-17
           4958.0000              75.0000    8.3176334073758438e-16    7.6608236976643062e-17
           5884.0000              75.0000    8.9536430325962339e-16    9.8959322728093925e-17
           6809.0000              75.0000    7.4473158734572847e-16    6.8592316026792557e-17
           7734.0000              75.0000    6.0255927140798124e-16    8.3246642155859612e-17
           8820.0000               0.0010    5.5462542263830234e-16    3.5758023479548350e-17
