z=   2.6919999e+00 0.
Total_Energy(erg)    8.0708427663125726e+05    2.4318467484071763e+05
       212627.76       281701.73   1.9058653687454763e+08       1504784.5                     -NaN
       249542.14       281701.73                     -NaN            -NaN   2.7795341513685643e+05
            -NaN       281701.73                     -NaN       281663.85   2.8170172608611238e+05
       5008679.7       284022.99   2.8104981662284367e+05       281684.39   2.8170172608611238e+05
            -NaN       261108.62   2.8167172338795371e+05       281519.69   2.8170172608611238e+05
            -NaN       281701.73   6.2222223784036506e+06       282614.70   2.8007883596630354e+05
       281651.17       281701.73                     -NaN       294712.08   2.8197632345044339e+05
       281301.42       281701.73                     -NaN       281701.73   2.8170172608611238e+05
       281701.73       281701.73   2.8170172608611238e+05       281701.73   2.8170172608611238e+05
       281701.73       281701.73   2.8170172608611238e+05       281701.73                     -NaN
       26728452.       4475161.5   2.8170172608611238e+05   5.6741549e+09   1.1310094002989687e+08
            -NaN       13931563.   2.8170172608611238e+05   8.5395637e+08                     -NaN
            -NaN       281701.73                     -NaN       24979750.   2.1825384319406729e+06
            -NaN       281701.73                     -NaN       278799.73   2.8170172608611238e+05
            -NaN       2010632.5   3.3039126867068163e+05       259070.05   2.8170172608611238e+05
            -NaN       281701.73                     -NaN       753856.70   2.8964811162303924e+05
       276564.33       281701.73                     -NaN       281701.73   2.8170172608611238e+05
       281701.73       281701.73   2.8170172608611238e+05       281701.73   3.4137651334068370e+08
       31212884.            -NaN   2.8170172608611238e+05            -NaN                     -NaN
            -NaN       281701.73                     -NaN       319100.84   2.8170172608611238e+05
       13654047.       281701.73                     -NaN       281701.73
Total_Energy_common(erg)            -NaN                      -NaN
T_min_T_max    7.7708560893281842e+01    6.9732666879254421e+03
