z=   2.6919999e+00 0.
Total_Energy(erg)    1.8998001008123194e+06    6.2680185155170108e+05
       609123.45       727656.46   2.2555161634370780e+08       6626412.7                     -NaN
       989050.28       727656.46                     -NaN            -NaN   8.1886618844584271e+05
            -NaN       727656.46                     -NaN       727579.40   7.2765645658978587e+05
       6566070.7       751648.00   7.2673043802390690e+05       727877.30   7.2765645658978587e+05
            -NaN       718707.56   7.2772601337644830e+05       726808.64   7.2765645658978587e+05
            -NaN       727656.46   5.9634151887621284e+06       740329.54   7.2616470636949386e+05
       727923.99       727656.46                     -NaN       707165.42   7.2774133915809530e+05
       726368.13       727656.46                     -NaN       727656.46   7.2765645658978587e+05
       727656.46       727656.46   7.2765645658978587e+05       727656.46   7.2765645658978587e+05
       727656.46       727656.46   7.2765645658978587e+05       727656.46                     -NaN
       18055098.            -NaN   7.2765645658978587e+05   3.8924277e+09   4.2082160974793456e+07
            -NaN       18239264.   7.2765645658978587e+05   1.6625298e+09                     -NaN
            -NaN       727656.46                     -NaN            -NaN   3.4871094972557545e+05
            -NaN       727656.46                     -NaN       728813.33   7.2765645658978587e+05
            -NaN            -NaN   7.2819496350379847e+05       683114.54   7.2765645658978587e+05
            -NaN       727656.46   1.1231908134187970e+07            -NaN   7.2682015800949617e+05
       718788.76       727656.46                     -NaN       727656.46   7.2765645658978587e+05
       727656.46       727656.46   7.2765645658978587e+05       727656.46                     -NaN
       6046707.2            -NaN   7.2765645658978587e+05            -NaN                     -NaN
            -NaN       727656.46                     -NaN       703567.87   7.2765645658978587e+05
            -NaN       727656.46                     -NaN       727656.46
Total_Energy_common(erg)            -NaN                      -NaN
T_min_T_max    7.8169015942144114e+01    6.9656014656414409e+03
