#Tmid [s]	Terr [s]	AB Mag	AB err
286.9	20.6	17.70	0.07
335.0	20.6	17.56	0.07
387.7	13.1	17.38	0.05
419.0	13.1	17.34	0.06
450.3	13.1	17.24	0.06
498.6	13.1	17.20	0.06
529.8	13.1	17.09	0.05
560.9	13.1	17.11	0.05
610.2	13.1	16.99	0.05
641.3	13.1	17.04	0.06
672.4	13.1	17.04	0.06
766.7	12.8	17.00	0.05
798.5	12.7	17.00	0.05
830.8	12.9	16.89	0.05
862.5	12.7	16.93	0.06
894.2	12.9	16.96	0.06
927.0	12.9	16.91	0.05
968.9	12.7	16.87	0.05
1000.6	12.7	16.83	0.05
1032.0	12.7	16.92	0.05
1064.0	12.7	16.84	0.05
1095.6	12.7	16.87	0.05
1127.1	12.8	16.98	0.05
1169.0	12.8	16.91	0.05
1200.6	12.7	16.95	0.05
1232.0	12.7	16.92	0.06
1263.5	12.7	16.98	0.05
1295.5	13.1	16.91	0.06
1327.6	12.7	16.88	0.05
1370.7	12.7	16.89	0.05
1402.6	12.8	17.00	0.05
1434.5	12.7	16.89	0.05
1466.5	12.7	16.99	0.05
1498.1	12.7	16.97	0.05
1530.3	12.7	16.99	0.05
1775.3	12.7	17.12	0.06
1807.2	12.7	17.10	0.05
1839.3	12.7	17.20	0.06
1871.5	12.7	17.17	0.06
1903.7	13.0	17.16	0.06
1936.2	12.7	17.17	0.06
2057.2	92.1	17.22	0.05
2259.5	92.8	17.36	0.05
2464.1	93.0	17.40	0.05
2656.5	45.7	17.51	0.08
2765.0	45.9	17.67	0.07
2876.0	45.6	17.71	0.08
2986.9	45.6	17.68	0.12
3133.7	45.7	17.75	0.09
3242.0	45.8	17.68	0.05
3352.0	45.3	17.88	0.08
3463.8	45.5	17.78	0.10
3656.5	91.6	17.87	0.07
3856.9	92.3	18.03	0.07
4058.7	92.6	18.02	0.07
4263.2	93.1	17.98	0.08
4477.8	93.1	18.16	0.07
4679.2	92.0	18.16	0.12
4881.9	93.1	18.17	0.09
5085.9	92.7	18.09	0.14
5303.2	93.0	18.18	0.05
5504.9	92.4	18.14	0.05
5705.4	91.6	18.26	0.06
5908.3	92.0	18.29	0.06
6655.0	396.8	18.43	0.05
7536.4	396.0	18.58	0.05
8522.1	394.4	18.79	0.06
9370.0	394.5	18.90	0.07
10215.3	397.6	18.91	0.05
11629.2	959.1	19.07	0.07
13907.7	957.9	19.17	0.06
15859.2	958.8	19.30	0.06
17824.8	959.5	19.30	0.07
19786.6	961.9	19.42	0.07
21794.8	957.6	19.47	0.09
23769.1	957.4	19.61	0.13
25745.3	961.1	19.64	0.10
