#Tmid [s]	Terr [s]	AB Mag	AB err
286.9	20.6	18.27	0.05
335.0	20.6	18.12	0.05
387.8	13.1	17.97	0.03
419.0	13.1	17.89	0.03
450.3	13.1	17.91	0.04
498.5	13.1	17.77	0.03
529.6	13.1	17.68	0.07
560.8	13.1	17.59	0.06
601.1	5.0	17.59	0.06
616.9	5.0	17.59	0.03
633.3	5.0	17.53	0.05
649.4	5.0	17.49	0.03
665.4	5.0	17.53	0.05
681.5	5.0	17.55	0.04
758.9	5.0	17.52	0.06
790.8	5.0	17.48	0.04
822.8	5.0	17.49	0.03
854.8	5.0	17.50	0.03
886.3	5.0	17.55	0.03
919.1	5.0	17.49	0.03
774.4	5.0	17.55	0.04
806.2	5.0	17.50	0.03
838.7	5.0	17.50	0.03
870.3	5.0	17.43	0.03
934.9	5.0	17.48	0.05
961.2	5.0	17.48	0.02
992.8	5.0	17.53	0.03
1024.3	5.0	17.51	0.04
1056.3	5.0	17.47	0.03
1087.9	5.0	17.52	0.02
1119.4	5.0	17.46	0.02
976.6	5.0	17.49	0.02
1008.3	5.0	17.48	0.02
1039.7	5.0	17.45	0.03
1071.7	5.0	17.46	0.04
1103.3	5.0	17.38	0.03
1134.9	5.0	17.48	0.02
1161.2	5.0	17.50	0.04
1192.9	5.0	17.46	0.05
1224.3	5.0	17.44	0.03
1287.4	5.0	17.47	0.08
1319.8	5.0	17.46	0.03
1176.8	5.0	17.43	0.02
1208.3	5.0	17.40	0.05
1239.7	5.0	17.46	0.02
1255.8	5.0	17.45	0.04
1271.2	5.0	17.44	0.04
1303.6	5.0	17.43	0.03
1335.3	5.0	17.49	0.04
1363.0	5.0	17.51	0.02
1394.8	5.0	17.43	0.03
1426.8	5.0	17.48	0.02
1458.8	5.0	17.56	0.06
1490.4	5.0	17.52	0.03
1522.6	5.0	17.54	0.03
1378.5	5.0	17.52	0.04
1410.3	5.0	17.54	0.03
1442.3	5.0	17.50	0.02
1474.2	5.0	17.53	0.04
1505.8	5.0	17.53	0.02
1538.1	5.0	17.59	0.04
1775.3	12.7	17.60	0.06
1807.2	12.7	17.63	0.05
1839.3	12.7	17.64	0.03
1871.5	12.7	17.64	0.04
1903.7	13.0	17.71	0.05
1936.2	12.7	17.71	0.04
2057.2	92.1	17.80	0.04
2259.4	92.8	17.92	0.03
2464.1	93.0	17.96	0.02
2656.8	45.7	18.07	0.08
2764.8	45.9	18.06	0.04
2876.3	45.6	18.16	0.04
2986.8	45.6	18.17	0.06
3133.7	45.7	18.16	0.05
3241.7	45.9	18.25	0.03
3352.3	45.3	18.34	0.05
3463.8	45.5	18.31	0.05
3656.4	91.6	18.37	0.04
3856.9	92.3	18.46	0.03
4059.1	92.6	18.53	0.05
4263.0	93.1	18.61	0.05
4478.1	93.1	18.61	0.06
4679.4	92.0	18.59	0.04
4881.6	93.1	18.59	0.04
5085.5	92.7	18.61	0.05
5303.2	93.0	18.61	0.05
5504.5	92.4	18.70	0.05
5705.0	91.6	18.78	0.04
5908.0	92.0	18.74	0.04
6350.4	92.6	18.80	0.05
6553.4	92.4	18.81	0.03
6755.6	92.9	18.85	0.04
6958.7	92.8	18.88	0.04
7232.5	91.9	18.91	0.03
7432.1	91.6	18.95	0.04
7634.3	93.2	19.03	0.05
7839.9	92.9	19.07	0.05
8220.1	92.6	19.14	0.05
8421.4	91.9	19.10	0.05
8621.9	91.5	19.16	0.04
8824.0	92.1	19.16	0.03
9067.7	92.5	19.19	0.06
9269.0	91.8	19.18	0.04
9468.6	92.0	19.20	0.04
9672.5	91.9	19.22	0.04
9909.2	91.9	19.26	0.06
10110.5	93.1	19.25	0.04
10315.3	93.1	19.26	0.06
10519.2	93.4	19.32	0.05
10900.2	230.5	19.36	0.05
11384.9	230.7	19.44	0.05
11868.8	231.6	19.52	0.04
12356.1	232.3	19.52	0.04
13907.7	957.9	19.56	0.04
15859.2	958.8	19.67	0.04
17824.8	959.5	19.68	0.04
19786.6	961.9	19.79	0.05
21794.8	957.6	19.91	0.05
23769.1	957.4	20.07	0.04
25745.3	961.1	20.10	0.06
