#Tmid [s]	Terr [s]	AB Mag	AB err
288.6	23.2	18.97	0.03
397.4	23.1	18.78	0.02
508.9	23.2	18.41	0.02
620.4	23.2	18.17	0.02
823.4	68.5	18.28	0.02
1023.8	68.5	18.20	0.01
1224.3	68.5	18.22	0.01
1427.3	68.4	18.25	0.01
1831.7	68.5	18.32	0.01
2033.0	68.5	18.41	0.01
2236.0	68.5	18.51	0.01
2440.8	68.5	18.59	0.01
2635.2	23.0	18.63	0.05
2743.2	23.0	18.70	0.02
2853.8	23.0	18.70	0.02
2965.2	23.0	18.74	0.03
3112.1	23.0	18.79	0.03
3220.1	22.9	18.84	0.02
3330.7	23.0	18.90	0.03
3442.2	23.0	18.89	0.05
3634.0	68.5	18.94	0.03
3833.6	68.5	18.97	0.02
4035.7	68.5	19.03	0.02
4239.6	68.5	19.08	0.02
4453.9	68.5	19.07	0.03
4655.2	68.5	19.11	0.02
4858.3	68.5	19.10	0.02
5063.0	68.5	19.15	0.02
5279.0	68.5	19.15	0.02
5480.4	68.5	19.17	0.01
5682.5	68.5	19.20	0.02
5885.6	68.5	19.21	0.02
6327.9	68.5	19.26	0.02
6530.1	68.5	19.28	0.02
6732.3	68.5	19.32	0.02
6935.3	68.5	19.35	0.02
7208.4	68.5	19.37	0.02
7409.7	68.4	19.40	0.02
7611.0	68.5	19.42	0.02
7815.7	68.5	19.49	0.02
8196.8	68.5	19.54	0.02
8397.2	68.5	19.55	0.02
8599.4	68.5	19.61	0.02
8801.6	68.5	19.63	0.02
9045.2	68.5	19.64	0.02
9244.8	68.5	19.67	0.02
9446.1	68.5	19.73	0.02
9650.0	68.4	19.74	0.03
9887.6	68.5	19.75	0.03
10086.3	68.5	19.76	0.03
10291.1	68.5	19.81	0.02
10495.9	68.5	19.84	0.03
10874.3	203.0	19.87	0.02
11358.1	203.0	19.90	0.02
11841.1	203.0	19.97	0.02
12327.6	203.0	20.03	0.02
13153.5	203.0	20.04	0.02
13637.4	202.9	20.04	0.02
14123.8	203.0	20.08	0.02
14606.8	203.0	20.08	0.02
15104.4	203.0	20.10	0.03
15588.3	203.0	20.12	0.03
16071.3	203.0	20.09	0.02
16558.6	203.0	20.14	0.03
17069.2	203.0	20.16	0.04
17555.6	203.0	20.16	0.04
18038.6	203.0	20.18	0.04
18525.0	202.9	20.22	0.04
19027.0	203.0	20.24	0.04
19515.2	203.0	20.24	0.04
20001.6	203.0	20.31	0.03
20488.0	202.8	20.38	0.02
21766.8	930.9	20.46	0.03
23742.7	929.8	20.50	0.04
25717.0	931.8	20.53	0.05
