z=   2.1062000e+00 0.
TotalEnergy(erg)    3.6233360798441735e+05    3.7321244954290676e+04
TotalEnergy_common(erg)                      -NaN                      -NaN
Energy1(erg)    6.6716494931886252e+05    4.9571350740680129e+04
Energy2(erg)    1.7266381295189259e+05    3.0886029134887463e+04
T_min_T_max    2.2157684774960322e+04    1.6662500913296215e+05
Interval1    2.2157684774960322e+04    7.7569261786162024e+04
Interval2    7.7569261786162024e+04    1.6662500913296215e+05
