#time	mag	mag_err	band
6053.184	18.2	0.38	R
14282.784	18.311	0.01	R
15024.96	18.34	0.01	R
15132.96	18.356	0.01	R
15873.408	18.398	0.01	R
15963.264	18.399	0.01	R
16053.12	18.402	0.01	R
16142.976	18.411	0.01	R
16500.672	18.428	0.01	R
16753.824	18.445	0.01	R
17171.136	18.474	0.01	R
29261.088	18.82	0.0	R
32380.992	19.17	0.13	R
57520.8	19.52	0.25	R
64359.36	19.32	0.0	R
64540.8	19.82	0.2	R
81021.6	20.240000000000002	0.02	R
81112.32	20.231	0.02	R
81202.176	20.240000000000002	0.02	R
81292.032	20.239	0.02	R
5002200.0	23.72	0.14	R
