time_sec	flux_R	flux_err_R	band	source
1.14E+02	4.6295036376803065e-15	3.8162140234635294e-16	R	
1.27E+02	5.454762981788535e-15	3.002476797754806e-16	R	
1.41E+02	5.766751270414816e-15	4.762706636982698e-16	R	
1.61E+02	5.454762981788535e-15	4.500912918524018e-16	R	
1.75E+02	3.713667048487028e-15	2.0453087123172324e-16	R	
1.83E+02	4.498669839224124e-15	2.478549429482922e-16	R	
1.95E+02	4.6295036376803065e-15	2.5490807359359347e-16	R	
2.08E+02	3.331229791461264e-15	1.8337271904870007e-16	R	
2.22E+02	3.2406525463762146e-15	1.7833512286521723e-16	R	
2.42E+02	2.817958735979317e-15	2.3259743550067167e-16	R	
2.53E+02	2.2040462970695374e-15	1.209060316357764e-16	R	
2.81E+02	2.5260987240386022e-15	2.0843154339144348e-16	R	
3.14E+02	2.083276636956138e-15	1.1485942640988814e-16	R	
3.57E+02	1.7712883483298564e-15	1.4600291993025133e-16	R	
3.81E+02	1.3385303995901755e-15	2.9590620738538325e-16	R	
4.62E+02	1.3385303995901755e-15	1.4798390957758601e-16	R	
4.93E+02	1.3787869529613087e-15	1.5201091823041983e-16	R	
5.73E+02	8.655158974793617e-16	7.139034529078278e-17	R	
6.81E+02	8.896698295020416e-16	7.340415583585933e-17	R	
8.45E+02	6.219637495840064e-16	5.135266552691158e-17	R	
1.03E+03	4.599311222651957e-16	6.321414139930311e-17	R	
1.30E+03	4.1162325821983595e-16	3.40336797098793e-17	R	
1.48E+03	5.13271055481947e-16	2.821128303322988e-17	R	
1.76E+03	4.991812618020504e-16	2.75058458684722e-17	R	
2.18E+03	4.1162325821983595e-16	1.247999209713645e-16	R	
2.33E+03	4.991812618020504e-16	5.496557589823041e-17	R	
2.77E+03	3.693538771801462e-16	2.035231040848591e-17	R	
3.36E+03	2.8783435660360166e-16	2.3763196189736115e-17	R	
3.99E+03	2.8783435660360166e-16	1.581847385201369e-17	R	
7.96E+03	1.6203262731881074e-16	1.3391956023550626e-17	R	
1.22E+04	1.2982738462190425e-16	1.0673344934854125e-17	R	
1.55E+04	1.3687228146185254e-16	1.1277471489943591e-17	R	
5.42E+04	7.085153393319425e-17	7.80189017014555e-18	R	
9.50E+04	2.938728396092716e-17	4.046507653909865e-18	R	
1.04E+05	3.975334645399394e-17	5.475870338738345e-18	R	
1.77E+05	1.0366062493066774e-17	3.4118497371967916e-18	R	
2.02E+05	1.8417373167293394e-17	6.58212129190682e-18	R	
1.44E+06	3.5425766966597125e-18	2.920058398605027e-19	R	
1.47E+06	4.17661741225506e-18	3.443654105930926e-19	R	
2.31E+06	3.955206368713827e-18	4.348928164199948e-19	R	
3.55E+06	2.7676380442654006e-18	2.2856964897784377e-19	R	
4.41E+06	2.2845594038118035e-18	1.8829343801484585e-19	R	
5.13E+06	2.2845594038118035e-18	3.764458083341123e-19	R	
5.83E+06	2.1034049136417048e-18	2.30533879531982e-19	R	
