z=   2.6090000e+00 0.
TotalEnergy(erg)    1.3794218922055134e+04    5.3218776395745981e+03
TotalEnergy_common(erg)                      -NaN                      -NaN
Energy1(erg)    1.1329928214717804e+04    4.3085926147231030e+03
Energy2(erg)    7.0828280963512707e+03   -3.4231991229517466e+03
T_min_T_max    1.2393737988879480e+04    6.1740648933758945e+04
Interval1    1.2393737988879480e+04    9.0373158337373854e+04
Interval2    9.0373158337373854e+04    6.1740648933758945e+04
