time_sec	flux	flux_err	band
57670.0	9.441809064391603e-14	2.614898085880173e-14	Rc
60052.0	1.0870547907899235e-13	2.002428925232512e-14	R
66026.0	5.966204881376108e-14	5.630855406023242e-15	r
80891.0	4.745166266923237e-14	4.37045964399826e-15	R
107566.0	5.5936870223139816e-14	2.361091958619836e-15	r
107566.0	5.645444771080053e-14	2.382938873529509e-15	r
156513.0	4.658557221839715e-14	4.2906897655471535e-15	R
199210.0	4.962473071304574e-14	3.796709249112003e-15	r
280366.0	5.244428430755943e-14	2.2136701152601682e-15	r
1281676.0	6.313227423868634e-14	7.559106544538181e-15	R
1378266.0	6.733663882742784e-14	6.2019336310543776e-15	R
1542545.0	6.255347406942121e-14	4.0329715134026895e-15	R
