Time	Mag	MagErr	Band
53752.896	22.35	0.05	I
165328.128	22.94	0.07	I
216069.12	22.91	0.09	I
179054.49599999998	23.96	0.12	R
1.1573719776e7	>21.2	?	K
1.1960484192000002e7	25.92	0.12	B
1.3337885952000001e7	22.	0.2	J
1.3765679136000002e7	24.56	0.07	V
1.3767014016e7	23.05	0.12	I
225776.592	?	?	300V+GG375
