Meantime(UT) Exp(s) Time_afterGRB(days) Seeing('') Instrument Mag MagErr Filter/grism
2006Oct07.32063 10×180 0.62214 0.8 VLT/FORS1 22.35 0.05 I
2006Oct08.30600 10×180 1.91352 0.8 VLT/FORS1 22.94 0.07 I
2006Oct09.19919 7×180 2.50080 0.9 VLT/FORS1 22.91 0.09 I
2006Oct08.77089 180+300+165 2.07239 0.9 VLT/FORS1 23.96 0.12 R
2007Feb17.65358 40×3×20 133.95509 1.2 VLT/ISAAC >21.2 ? K
2007Feb22.13000 20×180 138.43153 0.6 VLT/FORS2 25.92 0.12 B
2007Mar10.07215 47×3×20 154.37368 0.8 VLT/ISAAC 22.00 0.20 J
2007Mar15.02346 6×180 159.32499 0.9 VLT/FORS1 24.56 0.07 V
2007Mar15.03891 3×180 159.34044 0.9 VLT/FORS1 23.05 0.12 I
#2006Oct09.31165 4×2700 2.613155 0.9 VLT/FORS1 ? ? 300V+GG375
