Time        Mag          MagErr              Band        GCN
158        17.18         0.14                white       17206
682        17.1          0.1                  g'         17212
682        16.6          0.1                  r'         17212
682        16.4          0.1                  i'         17212
682        16.1          0.1                  z'         17212
682        15.7          0.1                  J          17212
682        15.4          0.1                  H          17212
682        15.3          0.1                  K          17212
157.5      17.33         0.04                 white      17219
635.5      17.43         0.26                 v          17219
562        17.92         0.21                 b          17219
419        17.62         0.07                 u          17219
71.5       16            0.2                  R          17227
77.5       15.7          0.2                  R          17227
83.5       15.5          0.2                  R          17227
89.5       15.6          0.3                  R          17227
119.6      15.47         0.03                 R          17227
160.1      15.36         0.03                 R          17227
200.7      15.40         0.03                 R          17227
241        15.42         0.03                 R          17227
281        15.39         0.03                 R          17227
351.7      15.60         0.09                 R          17227
401.3      16.17         0.02                 R          17227
760.6      16.63         0.02                 R          17227
861.2      16.68         0.08                 R          17227
1074.4     16.95         0.08                 R          17227
1327.5     17.22         0.08                 R          17227
2011       17.82         0.08                 R          17227
