Filter         T_start(s)   T_stop(s)      Exp(s)         Mag
v                  384         1695          175         >18.6
b                  496         1644          155         20.0 +/- 0.33
b                 5390        24672         1011         >20.3
u                  471         1619          284         20.1 +/- 0.35
u                 5185        30412         2351         20.4 +/- 0.18
u                81432        92912         1509         >20.7
w1                 446         1594          136         >21.0
m2                6006        29000         2637         >20.9
w2                5596        34449         3032         >22.0
