Time	Mag	MagErr	Band		GCN
171418.	20.5	0.3	r		28846
174269.	20.8	0.2	r		28846
203976.	>20.7	?	r		28847
245143.	20.36	0.05	R		28854
205000	20.25	0.26	B		28858
254107.	>20.6	?	R		28861
264823.	20.84	0.06	r'		28862
332466.	>20.9	?	R		28863
187434.	>19	?	Clear		28875
252475.	20.23	0.26	R		28875
256813.	20.49	0.12	R		28875
419827.	21.50	0.10	R		28875
265033.	21.08	0.08	r'		28876
508962.	21.91	0.06	r'		28876
438048.	21.6	0.1	R		28880
555552.	21.8	0.3	R		28880
613440.	21.8	0.1	R		28880
508600.	21.67	0.19	R		28883
678129.	21.60	0.25	R		28883
882919.	22.45	0.14	R		29181
964440.	22.8	0.2	R		28926
788043.	21.70	0.35	R		29181
1.04303e6 22.80	0.13	R		29181
1.73549e6 >23.2	?	R		29181
