Time_aftertrigger(s)		Mag		MagErr		Filter		GCN
194				19.71		0.16		white		14025
195                   20.3 		0.2				white		14030
568                    19.9 		0.4				white		14030
5788.5    	       21.3 		0.4				white		14030
844                   >19.6		?				v 		14030
856         		19.4 		0.2				b		14030
403        		>24.8		?				u		14030
6814         		20.6		0.5				u		14030
3770                  >21.3		?				w1		14030
3568                 >21.1		?				m2		14030
3565                 >20.8		?				w2		14030
45558		24.2		0.2		g'		14031
45558		23.0		0.1		r'		14031
45558		22.7 		0.1		i'		14031
45558		22.5		0.1		z'		14031
45558		>21.5		?		J		14031
45558		>21.0		?		H		14031
45558		>19.9		?		Ks		14031
