T_OBS[MJD]	T_1/2 [s]	GROND Mag	GROND Mag err	Up Lim
54314.31040	192.34	22.232	0.296	0
54314.31572	197.16	21.063	0.176	0
54314.32119	198.24	20.529	0.091	0
54314.32674	196.16	20.779	0.146	0
54314.33438	378.43	20.942	0.070	0
54314.35632	195.75	21.190	0.185	0
54314.42578	617.73	22.166	0.214	0
54314.43617	199.15	22.067	0.216	0
54315.32495	4559.32	23.261	0.252	1
