Filter Mag Err_Mag A
 H      20.447	0.187 0.02
 H      19.281	0.058 0.02
 H      18.788	0.081 0.02
 H      18.755	0.071 0.02
 H      18.656	0.073 0.02
 H      18.527	0.063 0.02
 H      18.639	0.055 0.02
 H      18.713	0.084 0.02
 H      18.965	0.070 0.02
 H      19.098	0.101 0.02
 H      19.305	0.055 0.02
 H      19.424	0.174 0.02
 H      20.280	0.090 0.02
 H      20.279	0.079 0.02
 H      20.187	0.149 0.02
 H      20.382	0.105 0.02
 H      21.557	0.341 0.02
 J      20.949	0.139 0.03
 J      19.719	0.057 0.03
 J      19.172	0.078 0.03
 J      19.098	0.053 0.03
 J      19.026	0.056 0.03
 J      19.010	0.065 0.03
 J      19.255	0.084 0.03
 J      19.339	0.071 0.03
 J      19.503	0.058 0.03
 J      19.532	0.051 0.03
 J      19.671	0.064 0.03
 J      19.676	0.084 0.03
 J      19.760	0.055 0.03
 J      19.758	0.098 0.03
 J      19.959	0.111 0.03
 J      20.682	0.062 0.03
 J      20.630	0.097 0.03
 J      20.646	0.087 0.03
 J      20.696	0.072 0.03
 J      22.037	0.191 0.03
 KS     19.286	0.163 0.01
 KS     18.400	0.124 0.01
 KS     18.027	0.091 0.01
 KS     17.975	0.099 0.01
 KS     17.778	0.078 0.01
 KS     17.645	0.085 0.01
 KS     17.659	0.131 0.01
 KS     17.810	0.115 0.01
 KS     17.863	0.073 0.01
 KS     18.074	0.097 0.01
 KS     18.074	0.098 0.01
 KS     18.269	0.100 0.01
 KS     18.130	0.100 0.01
 KS     18.263	0.106 0.01
 KS     18.347	0.186 0.01
 KS     19.144	0.164 0.01
 KS     19.169	0.144 0.01
 KS     19.243	0.108 0.01
 KS     19.439	0.160 0.01
 KS     20.427	0.192 0.01
 rr     22.743	0.280 0.07
 rr     21.795	0.165 0.07
 rr     21.349	0.126 0.07
 rr     21.411	0.151 0.07
 rr     21.909	0.179 0.07
 rr     22.042	0.238 0.07
 rr     23.018	0.476 0.07
 rr     23.456	0.106 0.07
 rr     24.095	0.106 0.07
 zz     22.232	0.296 0.04
 zz     21.063	0.176 0.04
 zz     20.529	0.091 0.04
 zz     20.779	0.146 0.04
 zz     20.942	0.070 0.04
 zz     21.190	0.185 0.04
 zz     22.166	0.214 0.04
 zz     22.067	0.216 0.04
 zz     23.261	0.252 0.04
