Mid time (s)  1/2 Exposure (s)   Flux (Jy)  Err_flux (Jy)
   1.2399900000000000e+02    1.0000000000000000e+01    9.2322634711074832e-04    5.2084110995864868e-05
   1.4399900000000000e+02    1.0000000000000000e+01    8.7259198847579951e-04    5.0129543248558037e-05
   1.6899900000000000e+02    1.5000000000000000e+01    7.7830714501762378e-04    3.8194301570320135e-05
   1.9888000000000000e+02    1.4881000000000000e+01    6.9052224538421626e-04    3.5402789645576477e-05
   2.4275000000000000e+02    2.3452999999999999e+01    6.2493954415225974e-04    7.1971341159725191e-05
   2.9120299999999997e+02    2.5000000000000000e+01    5.7148820359325401e-04    6.6075291018676747e-05
   3.5120299999999997e+02    3.5000000000000000e+01    3.9989936521911618e-04    4.9316031470489504e-05
   4.1888999999999999e+02    3.2686999999999998e+01    3.6318436120891571e-04    4.9985383052444456e-05
   4.0851799999999998e+03    4.0650000000000000e+02    5.6365108480453481e-05    5.5476969604396815e-06
   4.9031800000000003e+03    4.0650000000000000e+02    4.7734089813137058e-05    4.7983186406421663e-06
   5.7751800000000003e+03    4.5950000000000000e+02    3.9740839928627012e-05    3.3022363509750364e-06
   1.0368680000000000e+04    9.0000000000000000e+02    2.6720066879653933e-05    6.6002446820640552e-06
   1.6236180000000000e+04    9.8350000000000000e+02    1.7778568920707702e-05    2.2683071988487241e-06
   2.2119680000000000e+04    1.0830000000000000e+03    1.5965690779581065e-05    3.5780509735393521e-06
   2.8021680000000000e+04    1.2010000000000000e+03    1.0437554778614043e-05    5.3760291650676725e-06
   3.5944680000000000e+04    3.3410000000000000e+03    4.3934475315570833e-06    1.6100197845954894e-06
   4.3007680000000000e+04    3.7130000000000000e+03    5.1789677803802495e-06    2.0723945111303333e-06
   5.4118180000000000e+04    4.1685000000000000e+03    3.7578691686916346e-06    1.2614959549913405e-06
   6.8210179999999993e+04    6.6875000000000000e+03    4.9077886976909627e-06    1.5141328781805041e-06
   8.3123679999999993e+04    8.2180000000000000e+03    2.9230899411964416e-06    1.2322665837793347e-06
   1.2601767999999999e+05    1.2502000000000000e+04    2.2316915278358462e-06    7.6986384024524689e-07
   1.4178317999999999e+05    3.2575000000000000e+03    2.6106494596195220e-06    1.5569046480274199e-06
   2.4678967999999999e+05    1.7596000000000000e+04    6.6973108494472498e-07    3.5117016253280643e-07
