Tstart(s)          Tend(s)      Tmid(s)  ErrorTime(s)  Exposure(s)    Filter       Magnitude    ErrorMagnitude      ErrMag+   ErrMag-    Sigma     Telescope           ReferenceUpperL  Calib   Galactic Extiction   Host     Corrected? Notes  
         1700.4          1760.4            -9.0    -9.000    -9.000 CR   16.960   0.1100  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 0 NNN  0.000  0.000 0 nnn
         1777.4          1837.4            -9.0    -9.000    -9.000 CR   16.980   0.1000  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 0 NNN  0.000  0.000 0 nnn
         1846.6          1906.6            -9.0    -9.000    -9.000 CR   17.180   0.1100  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 0 NNN  0.000  0.000 0 nnn
         1916.0          1976.0            -9.0    -9.000    -9.000 CR   16.930   0.1200  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 0 NNN  0.000  0.000 0 nnn
         1985.4          2045.4            -9.0    -9.000    -9.000 CR   16.870   0.0800  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 0 NNN  0.000  0.000 0 nnn
         2054.5          2114.5            -9.0    -9.000    -9.000 CR   16.960   0.1200  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 0 NNN  0.000  0.000 0 nnn
         2123.7          2183.7            -9.0    -9.000    -9.000 CR   17.080   0.0800  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 0 NNN  0.000  0.000 0 nnn
         2201.2          2261.2            -9.0    -9.000    -9.000 CR   17.100   0.1500  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 0 NNN  0.000  0.000 0 nnn
         2270.1          2330.1            -9.0    -9.000    -9.000 CR   17.060   0.1300  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 0 NNN  0.000  0.000 0 nnn
         2339.2          2399.2            -9.0    -9.000    -9.000 CR   17.160   0.1200  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 0 NNN  0.000  0.000 0 nnn
         2416.3          2476.3            -9.0    -9.000    -9.000 CR   16.830   0.1200  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 0 NNN  0.000  0.000 0 nnn
         2485.5          2545.5            -9.0    -9.000    -9.000 CR   17.140   0.1800  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 0 NNN  0.000  0.000 0 nnn
         2554.7          2614.7            -9.0    -9.000    -9.000 CR   17.590   0.1600  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 0 NNN  0.000  0.000 0 nnn
         2631.5          2691.5            -9.0    -9.000    -9.000 CR   17.140   0.1600  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 0 NNN  0.000  0.000 0 nnn
         2701.0          2761.0            -9.0    -9.000    -9.000 CR   16.970   0.1000  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 0 NNN  0.000  0.000 0 nnn
         2770.3          2830.3            -9.0    -9.000    -9.000 CR   17.040   0.2000  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 0 NNN  0.000  0.000 0 nnn
         2847.1          2907.1            -9.0    -9.000    -9.000 CR   17.220   0.3000  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 0 NNN  0.000  0.000 0 nnn
         2916.6          2976.6            -9.0    -9.000    -9.000 CR   17.190   0.3800  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 0 NNN  0.000  0.000 0 nnn
         2985.9          3045.9            -9.0    -9.000    -9.000 CR   16.800   0.2800  -9.0000  -9.0000  -9.0000 ROTSE rykoff09 0 NNN  0.000  0.000 0 nnn
