135,20.9,0.6,white_swift,swift,5883,Swift/UVOT,no
6300.5,20.9,0.4,white_swift,swift,5883,Swift/UVOT,no
30618,22.3,0,I,,5884, FORS2  +  VLT ,no
6163.5,20.8,0,v_swift,swift,5898,Swift/UVOT,no
3433,20.9,0,b_swift,swift,5898,Swift/UVOT,no
3318.5,20.7,0.4,u_swift,swift,5898,Swift/UVOT,no
9273.5,20.7,0.5,uvw1_swift,swift,5898,Swift/UVOT,no
39917,22.9,0.5,uvw1_swift,swift,5898,Swift/UVOT,no
123449,23,0,uvw1_swift,swift,5898,Swift/UVOT,no
10666,20.5,0.5,uvm2_swift,swift,5898,Swift/UVOT,no
3604.5,19.8,0.5,uvm2_swift,swift,5898,Swift/UVOT,no
3244,20.8,0.3,white_swift,swift,5898,Swift/UVOT,no
9273.5,20.8,0.4,unfiltered,,5898,Swift/UVOT,no
119145,23.6,0,I,,5909,VLT,no
1415520,24.8,0,I,,arXiv1901.05792, FORS2  +  VLT ,yes
1155600,24.9,0,R,,arXiv1901.05792, FORS2  +  VLT ,yes
14828760,25.9,0,R,,arXiv1901.05792, FORS2  +  VLT ,yes
6660,21.23,0,v_swift,swift,arXiv1901.05792,Swift/UVOT,yes
3456,21.14,0,b_swift,swift,arXiv1901.05792,Swift/UVOT,yes
3276,20.86,0.54,u_swift,swift,arXiv1901.05792,Swift/UVOT,yes
3600,19.94,0.41,uvw2_swift,swift,arXiv1901.05792,Swift/UVOT,yes
8640,20.75,0.36,uvw1_swift,swift,arXiv1901.05792,Swift/UVOT,yes
10620,21.44,0.54,uvm2_swift,swift,arXiv1901.05792,Swift/UVOT,yes
45720,22.72,0.47,uvw1_swift,swift,arXiv1901.05792,Swift/UVOT,yes
133560,22.97,0,uvw1_swift,swift,arXiv1901.05792,Swift/UVOT,yes
3341.8,20.9,0.3,white_swift,swift,arXiv0708.3553,Swift/UVOT,no
3390.2,20.86,0.54,u_swift,swift,arXiv0708.3553,Swift/UVOT,no
3557,21.14,0,b_swift,swift,arXiv0708.3553,Swift/UVOT,no
3689.8,19.94,0.41,uvw2_swift,swift,arXiv0708.3553,Swift/UVOT,no
6689.9,21.23,0,v_swift,swift,arXiv0708.3553,Swift/UVOT,no
9504.3,20.75,0.36,uvw1_swift,swift,arXiv0708.3553,Swift/UVOT,no
10965.2,21.44,0.54,uvm2_swift,swift,arXiv0708.3553,Swift/UVOT,no
32837.6,22.36,0.08,I,,arXiv0708.3553, FORS2  +  VLT ,no
32617.2,23.05,0.12,R,,arXiv0708.3553, FORS2  +  VLT ,no
45681.3,22.72,0.47,uvw1_swift,swift,arXiv0708.3553,Swift/UVOT,no
133429.6,22.97,0,uvw1_swift,swift,arXiv0708.3553,Swift/UVOT,no
121745.6,23.6,0,I,,arXiv0708.3553, FORS2  +  VLT ,no
294268.8,24,0,I,,arXiv0708.3553, FORS2  +  VLT ,no
1155723.6,24.9,0,R,,arXiv0708.3553, FORS2  +  VLT ,no
1416211.2,24.8,0,I,,arXiv0708.3553, FORS2  +  VLT ,no
14831798.4,25.9,0,R,,arXiv0708.3553, FORS2  +  VLT ,no
86400,28.9,0.4,Rc,,arXiv0804.1959, FORS2  +  VLT ,no
