time,mag,err,band,sys,source,telescope,gal_ext_corr
699,19,0,R,,5794, Uppsala  Schmidt  
Telescope  at  Siding  Spring  Observatory ,no
271,19,0,V,,5795, Swift/UVOT   ,no
46,16.2,0,unfiltered,,5796, ROTSE-IIIa  -  Siding  Spring  Observatory ,no
1513,17.5,0,unfiltered,,5796, ROTSE-IIIa  -  Siding  Spring  Observatory ,no
28440,22.5,0,R,,5799, Nordic  Optical    Telescope  on  La  Palma  +  ALFOSC ,no
28440,21.6,0,i,,5799, Nordic  Optical    Telescope  on  La  Palma  +  ALFOSC ,no
54000,22,0,R,,5812, FORS1/VLT  and  grism  300V ,no
3952,20.42,0,v_swift,swift,5813, Swift/UVOT   ,no
4016,20.55,0,b_swift,swift,5813, Swift/UVOT   ,no
3888,20.28,0,u_swift,swift,5813, Swift/UVOT   ,no
3792,19.72,0,uvw1_swift,swift,5813, Swift/UVOT   ,no
6192,20.55,0,uvm2_swift,swift,5813, Swift/UVOT   ,no
4128,20.31,0,uvw2_swift,swift,5813, Swift/UVOT   ,no
28800,22.5,0,R,,5818, Swift/UVOT   ,no
50400,23.1,0,R,,5818, Swift/UVOT   ,no
56800,22,0,R,,arXiv0907.3449,FORS1,no
