#time(Days)	mag	err	band
0.265		22.09	0.07	r
0.354		22.19	0.05	r
0.375		22.21	0.05	r
0.396		22.23	0.05	r
0.417		22.24	0.05	r
0.438		22.18	0.05	r
1.480		22.48	0.07	r
2.488		22.49	0.08	r
4.511		22.47	0.10	r
7.391		22.28	0.06	r
9.471		22.28	0.05	r
12.469		22.24	0.05	r
15.511		22.31	0.07	r
24.432		22.53	0.06	r
26.380		22.49	0.06	r
41.391		22.68	0.06	r
97.244		22.86	0.08	r
144.166		22.80	0.09	r
449.274		22.95	0.10	r
