white    18.41 0.11 0.091
v        19.70 100. 0.062
uvm2     17.70 100. 0.196
uvw1     18.49 0.31 0.138
u        18.79 0.16 0.010
b        19.82 0.21 0.079
white    18.25 0.06 0.091 
uvw2     18.26 0.23 0.164
v        19.34 0.27 0.062
uvm2     17.78 0.18 0.196
uvw1     18.32 0.25 0.138
u        18.55 0.19 0.010
b        19.46 0.13 0.079
b        19.51 0.13 0.079
b        19.56 0.12 0.079
white    18.34 0.07  0.091
white    18.36 0.05  0.091
white    18.24 0.08  0.091
uvw2     18.10 0.48  0.164
v        19.46 0.25 0.062
v        19.21 0.21 0.062
v        19.32 0.22 0.062
uvm2     18.62 0.81  0.196
uvw1     18.44 0.27 0.138
u        18.56 0.12 0.010
u        18.48 0.12 0.010
u        18.53 0.11 0.010
b        19.54 0.14 0.079
b        19.37 0.13 0.079
b        19.50 0.16 0.079
white    18.25 0.13  0.091
white    18.26 0.11  0.091
white    18.31 0.22  0.091
uvw1     18.38 0.12 0.138
u        18.34 0.10 0.010
u        18.45 0.21 0.010
uvw1     19.02 0.26 0.138
u        18.76 0.17 0.010
b        19.73 0.19 0.079
uvw2     18.74 0.46  0.164
v        19.23 0.28 0.062
uvm2     18.65 0.54  0.196
uvw1     19.17 0.26 0.138
u        19.29 0.21 0.010
b        19.90 0.22 0.079
uvw2     19.63 0.27  0.164
v        19.80 100. 0.062
uvm2     18.75 0.33  0.196
uvw1     19.35 0.22 0.138
u        19.33 0.19 0.010
b        20.35 0.27 0.079
uvw2     19.75 0.60  0.164
v        19.77 0.35 0.062
uvm2     19.04 0.37  0.196
uvw1     19.68 0.23 0.138
u        19.61 0.18 0.010
b        20.48 0.23 0.079
uvw2     20.52 0.43  0.164
v        20.30 100. 0.062
uvm2     19.78 0.60  0.196
uvw1     20.45 0.32 0.138
u        20.72 0.35 0.010
b        20.77 0.27 0.079
uvw2     20.50 0.40  0.164
v        20.30 100. 0.062
uvm2     20.47 0.74  0.196
uvw2     21.25 0.19  0.164
uvw1     21.24 0.16 0.138
u        21.66 0.26 0.010
b        22.50 100. 0.079
v        21.42 0.34 0.062
uvm2     21.51 0.21  0.196
uvw2     22.74 0.31  0.164
uvw1     22.71 0.36 0.138
u        22.20 0.34 0.010
b        22.70 100. 0.079
v        21.70 100. 0.062
uvm2     22.73 0.33  0.196
v        22.10 100. 0.062
b        23.10 100. 0.079
white    22.38 0.22  0.091
u        23.70 0.23  0.010
uvw1     23.10 100. 0.138
uvm2     22.50 100. 0.196
uvw2     22.50 100. 0.164
RC  20.29	0.34  0.081
RC  19.95	0.22  0.081
RC  19.95	0.22  0.081
RC  19.95	0.22  0.081
RC  19.10	0.10  0.081
RC  19.20	0.11  0.081
RC  19.10	0.10  0.081
RC  18.99	0.10  0.081
RC  18.79	0.10  0.081
RC  18.92	0.17  0.081
RC  18.58	0.11  0.081
RC  18.97	0.10  0.081
RC  18.96	0.11  0.081
RC  19.04	0.11  0.081
RC  19.33	0.30  0.081
RC  20.69	0.21  0.081
RC  20.75	0.26  0.081
RC  21.27	0.86  0.081
RC 19.42	0.03  0.081
RC 19.43	0.02  0.081
RC 19.42	0.02  0.081
RC 19.45	0.02  0.081
RC 19.45	0.02  0.081
RC 19.43	0.02  0.081
RC 19.46	0.02  0.081
RC 19.45	0.03  0.081
RC 19.45	0.02  0.081
RC 19.88	0.03  0.081
RC 19.92	0.02  0.081
RC 21.07	0.02  0.081
RC 21.25	0.02  0.081
RC 22.47	0.06  0.081
RC 23.04	0.09  0.081
RC 23.58	0.19  0.081
RC 24.32	0.30  0.081
RC 25.40	0.77  0.081
RC 25.78	1.08  0.081
