time_sec	mag	mag_err	band	source
6618.0	16.893447376485913	0.02	V	manual
6802.0	16.672278395185245	0.02	R	manual
6986.0	16.24933563151397	0.02	I	manual
11614.0	17.733447376485913	0.05	V	manual
11798.0	17.572278395185247	0.03	R	manual
11982.0	17.17933563151397	0.04	I	manual
41466.0	20.312278395185245	0.15	R	manual
46414.0	20.242278395185245	0.14	R	manual
39169.0	19.54227839518525	0.2	R	manual
352166.0	22.73438245241903	0.11	g	manual
352425.0	22.45453948040493	0.1	r	manual
352684.0	22.193097609508783	0.2	i	manual
263520.0	21.944539480404927	0.06	r	manual
133129.0	20.942278395185244	0.3	R	manual
305427.0	21.852278395185245	0.1	R	manual
