z=   2.0999999e+00 0.
TotalEnergy(erg)    2.1760382397246446e+07    3.0147315782551287e+05
TotalEnergy_common(erg)                      -NaN                      -NaN
Energy1(erg)    3.1957897078580254e+08    3.3329529316902244e+06
Energy2(erg)    8.4485748598757014e+06    1.8467697635840622e+05
T_min_T_max    4.3225807781398153e+01    8.3454841277056094e+03
Interval1    4.3225807781398153e+01    3.9844042624206514e+02
Interval2    3.9844042624206514e+02    8.3454841277056094e+03
