time(s)	erg/cm2/s	err
25.69337705	1.12472E-11	1.63010E-12
31.2911	4.60E-11	2.17E-12
39.4934	6.36E-11	2.77E-12
43.22580645	1.12407E-10	2.04126E-11
49.3361	1.00E-10	4.62E-12
66.80561311	1.02860E-10	1.87740E-12
73.93857049	1.16693E-10	1.06985E-12
75.80645161	1.66E-10	1.53E-12
99.78491803	1.71493E-10	1.57226E-12
102.6307	1.75E-10	6.77E-12
111.2903226	3.50E-10	5.73E-11
127.2378	1.71E-10	6.54E-12
135.9086164	3.13506E-10	2.87424E-12
153.5483871	1.80E-10	1.66E-12
156.703	1.52E-10	5.71E-12
158.9391738	2.42463E-10	2.22292E-12
178.5363934	1.86314E-10	1.70814E-12
194.4034	1.43E-10	6.00E-12
201.6129032	2.31E-10	3.93E-11
209.9774951	1.97445E-10	1.81019E-12
218.1755803	2.06560E-10	1.89375E-12
226.3708328	2.09433E-10	4.30745E-11
227.4897836	2.09048E-10	1.91656E-12
235.1901	1.04E-10	4.11E-12
250.6364852	1.73239E-10	1.08167E-11
258.5059672	1.58725E-10	2.89706E-12
658.3595016	2.06180E-11	1.81416E-12
1491.1978	6.27E-12	2.86E-13
1770.792079	9.51143E-12	3.44038E-13
1793.8092	5.59E-12	2.24E-13
1992.1141	4.53E-12	6.75E-13
2163.277534	4.60305E-12	8.40152E-14
2194.193548	4.05E-12	7.46E-14
2223.607397	4.19031E-12	7.64818E-14
2253.548387	4.51E-12	1.04E-12
2283.934426	4.36763E-12	7.97183E-14
3521.952944	2.47883E-12	1.33269E-13
3601.2929	2.11E-12	8.52E-14
3801.311056	2.12347E-12	9.55719E-14
3805.806452	1.77E-12	4.88E-14
3861.638085	1.82914E-12	4.98490E-14
3865.16129	1.88E-12	4.62E-13
3921.967948	1.85458E-12	6.70820E-14
4717.096774	1.04E-12	2.39E-13
4717.096774	1.20E-12	2.69E-13
5030.162675	1.07213E-12	2.20506E-13
5224.8959	8.00E-13	1.93E-13
5841.290323	8.23E-13	1.44E-13
5841.290323	8.64E-13	2.08E-13
5936.722466	8.51620E-13	1.36719E-13
6423.225806	1.27E-12	1.75E-13
6423.225806	6.55E-13	1.52E-13
6528.197036	7.09653E-13	1.45956E-13
7007.096774	7.30E-13	1.61E-13
7007.096774	6.97E-13	1.50E-13
7053.870968	5.34E-13	2.95E-14
7053.870968	5.37E-13	1.46E-13
7126.129032	5.32E-13	1.46E-13
7126.129032	5.69E-13	3.15E-14
7126.129032	5.24E-13	6.21E-14
7250.492538	5.34867E-13	4.25489E-14
7440.967742	5.43E-13	6.43E-14
7531.802439	5.84852E-13	5.63508E-14
7562.623161	5.39816E-13	3.83451E-14
7612.903226	4.96E-13	8.68E-14
7612.903226	4.38E-13	1.29E-13
7737.377784	4.68863E-13	1.19686E-13
7750	4.53E-13	1.25E-13
7750	4.73E-13	2.62E-14
7750	4.62E-13	5.49E-14
7876.72257	4.57347E-13	3.63822E-14
8053.870968	4.82E-13	3.11E-14
8053.870968	4.32E-13	1.21E-13
8053.870968	3.87E-13	4.61E-14
8185.572826	4.12141E-13	3.97100E-14
8345.483871	4.37E-13	1.22E-13
8345.483871	4.40E-13	2.84E-14
8345.483871	4.08E-13	5.16E-14
8494.425915	4.35558E-13	4.55747E-14
8557.376105	4.72331E-13	4.15600E-14
9333.3113	5.06E-13	5.72E-14
12841.96627	2.98020E-13	5.01378E-14
13376.12903	1.42E-13	1.96E-14
13529.83491	1.46638E-13	1.89216E-14
14261.284	2.02E-13	5.51E-14
14972.25806	1.51E-13	1.95E-14
15152.1323	1.56403E-13	1.89213E-14
18649.6722	7.31E-14	3.37E-14
22584.2411	9.64E-14	4.31E-14
29036.06557	6.82725E-14	6.00724E-15
69072.2448	6.93E-15	7.19E-15
85177.132	1.69E-14	7.22E-15
98864.2623	4.99167E-15	5.63280E-16
105195.5279	5.33E-15	6.83E-15
