z=   2.1062000e+00 0.
TotalEnergy(erg)    7.5812156129693292e+04    9.0763350551209294e+02
TotalEnergy_common(erg)                      -NaN                      -NaN
Energy1(erg)    5.0604648477283446e+05    3.3431086876223148e+03
Energy2(erg)    3.6414766326411918e+04    7.1339540388698924e+02
T_min_T_max    2.3552894364879903e+04    6.3697122299858916e+05
Interval1    2.3552894364879903e+04    7.5012538287828502e+04
Interval2    7.5012538287828502e+04    6.3697122299858916e+05
