Tstart(daltrigger) Tend  Tmid(s)  Terr Exposure Filter     Mag         Err   Err+   Err-   1sigma   Telescope       Reference  UpperLimit  Calib GAL_Extinction Host_ext Corrected? Notes	
 -9.  -9.     77872.3	 -9. 1520.0	 VJ 18.75  0.08	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.     78235.2	 -9. 640.0	 IC 17.96  0.05	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.     78321.6	 -9. 720.0	 RC 18.45  0.04	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.     79246.1	 -9. 880.0	 RC 18.40  0.04	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.     79246.1	 -9. 880.0	 IC 17.83  0.03	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.     79686.7	 -9. 1680.0	 BJ 18.93  0.05	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.     79704.0	 -9. 1600.0	 VJ 18.68  0.07	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.     80179.2	 -9. 800.0	 RC 18.40  0.04	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.     80213.8	 -9. 560.0	 IC 17.96  0.05	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.     80619.8	 -9. 691.7	 u  18.64  0.05	 -9.  -9.  -9. 	UVOT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.     81112.3	 -9. 880.0	 RC 18.26  0.03	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.     81112.3	 -9. 880.0	 IC 17.87  0.04	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.     81380.2	 -9. 1360.0	 BJ 19.11  0.08	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.     81397.4	 -9. 1280.0	 VJ 18.58  0.08	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.     81864.0	 -9. 480.0	 RC 18.36  0.05	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.     81881.3	 -9. 480.0	 IC 17.93  0.05	 -9.  -9.  -9. 	PROMPT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
 -9.  -9.     82036.8	 -9. 691.7	 v  18.76  0.09	 -9.  -9.  -9. 	UVOT	cenko11 0 Vega 0. 0. 0 E(B-V)=0.024
