Tstart(s)          Tend(s)    ErrorTime(s)  Exposure(s)    Filter       Magnitude    ErrorMagnitude      ErrMag+   ErrMag-    Sigma     Telescope           ReferenceUpperL  LowerL   
      2.3      -9.0     0.001    -9.000 K  16.88   0.08  -9.00  -9.00  -9.00 UKIRT watson06 0 0
      2.7      -9.0     0.001    -9.000 K  17.20   0.10  -9.00  -9.00  -9.00 UKIRT watson06 0 0
   1095.0      -9.0     0.001    -9.000 K  21.50 100.00  -9.00  -9.00  -9.00 VLT watson06 1 0
