Time	   	Mag  MagErr   Band  
3283.2 	 	20.7  0.4   U_swift  
9244.8 	 	20.75  0.36   UVW1_swift  	 
39916.8		22.72  0.47   UVW1_swift  
3628 	        19.94  0.5    UVW2_swift	
3196.8  	20.8  0.3   White_swift 
10627.2  	 21.44  0.54  	UVM2_swift
31017.6 	 22.36  0.08   I_swift    
32227.2 	 23.05  0.12  R_swift
