Mid time (s)  1/2 Exposure (s)   Flux (Jy)  Err_flux (Jy)
   6.8140000000000001e+01    3.8929999999999998e+00    2.8567915329837800e-03    3.8714398956298830e-04
   7.7033000000000001e+01    5.0000000000000000e+00    2.2515479393005371e-03    2.9545199203491208e-04
   8.7033000000000001e+01    5.0000000000000000e+00    2.4221969347000120e-03    3.0309299182891840e-04
   1.0203300000000000e+02    1.0000000000000000e+01    2.2098357214250567e-03    2.0673947502651210e-04
   1.2203300000000000e+02    1.0000000000000000e+01    2.5863001402759551e-03    2.2228687200736996e-04
   1.4203299999999999e+02    1.0000000000000000e+01    1.9662839469909666e-03    1.9450801725625993e-04
   1.6425250000000000e+02    1.2219500000000000e+01    2.3273542982568739e-03    2.3644258822574612e-04
   1.9997200000000001e+02    1.8500000000000000e+01    2.2793586315507887e-03    1.0519338946409226e-04
   2.4297200000000001e+02    1.8500000000000000e+01    1.9533324523401262e-03    2.0866424287462230e-04
   2.9247199999999998e+02    2.6000000000000000e+01    1.7526339517507550e-03    9.3373781582736968e-05
   3.5497199999999998e+02    3.2500000000000000e+01    1.2571838841075899e-03    7.5635200560951232e-05
   4.3247199999999998e+02    3.9000000000000000e+01    1.1488854470272064e-03    7.3930493506908413e-05
   5.2497199999999998e+02    4.6500000000000000e+01    7.9807950548458110e-04    6.2608569412136075e-05
   6.3697199999999998e+02    6.0500000000000000e+01    5.5715623497962945e-04    4.8390706395435326e-05
   7.7747199999999998e+02    7.5000000000000000e+01    5.3664779153251652e-04    3.9677929030323028e-05
   9.1097199999999998e+02    5.3500000000000000e+01    4.6387490949440006e-04    4.1408360783672334e-05
   4.5234719999999998e+03    3.3500000000000000e+02    1.0157155556173325e-04    2.8416878233909607e-05
   5.9639719999999998e+03    4.4950000000000000e+02    3.0996989164352416e-05    9.1691997528076156e-06
   6.5899719999999998e+03    1.6850000000000000e+02    4.4914815589141840e-05    1.4386805522146225e-05
   1.0865972000000000e+04    8.9950000000000000e+02    3.4498095269966131e-05    4.4350655104351036e-06
   1.2158972000000000e+04    3.8550000000000000e+02    2.0247121254158018e-05    3.5401516145610810e-06
   1.7048972000000002e+04    1.2815000000000000e+03    1.7739014011774065e-05    4.9594927962970733e-06
   2.2821472000000002e+04    1.2940000000000000e+03    4.1202817889213556e-06    2.2697895528087619e-06
   3.6557972000000002e+04    3.3595000000000000e+03    9.2692204401111593e-06    2.2216257841072077e-06
   4.3592972000000002e+04    3.6655000000000000e+03    1.6196398033361435e-06    2.1908223669376370e-06
   5.3586472000000002e+04    3.0210000000000000e+03    1.0539154605875015e-05    4.5166204482364659e-06
   1.8417597200000001e+05    6.3235000000000000e+03    1.0470614837722779e-06    5.1037803424072265e-06
