Tstart(s)          Tend(s)    ErrorTime(s)  Exposure(s)    Filter       Magnitude    ErrorMagnitude      ErrMag+   ErrMag-    Sigma     Telescope           ReferenceUpperL  LowerL   
     16.8      -9.0    -9.000     5.000 N  14.39   0.20  -9.00  -9.00  -9.00 ROTSE lipunov07 0 0
     30.8      -9.0    -9.000     5.000 N  14.67   0.22  -9.00  -9.00  -9.00 ROTSE lipunov07 0 0
     53.3      -9.0    -9.000    15.000 N  15.56   0.19  -9.00  -9.00  -9.00 ROTSE lipunov07 0 0
    104.1      -9.0    -9.000    25.000 N  17.16   0.41  -9.00  -9.00  -9.00 ROTSE lipunov07 0 0
    174.9      -9.0    -9.000   200.000 N  17.86   0.30  -9.00  -9.00  -9.00 ROTSE lipunov07 0 0
    467.2      -9.0    -9.000   600.000 N  17.07   0.21  -9.00  -9.00  -9.00 ROTSE lipunov07 0 0
   1168.7      -9.0    -9.000   600.000 N  17.99   0.40  -9.00  -9.00  -9.00 ROTSE lipunov07 0 0
   5727.9      -9.0    -9.000   600.000 N  17.04 100.00  -9.00  -9.00  -9.00 ROTSE lipunov07 1 0
