z=   5.4670000e+00 0.
Total_Energy(erg)    4.2370097966936054e+06    2.6722409005501932e+06
Total_Energy_common(erg)            -NaN                      -NaN
T_min_T_max    1.9812896219087614e+02    4.7363537906083945e+02
